personId;displayName;email;phone;avgRate;responseCount;incidentCount;totalTicketReopenCount;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_001 \\ A_INTERNET_001_001_002;responses.createdAt;tanggal;respon_tanggal;responses.updatedAt;responses.userId;responses.userEmail;responses.userName;responses.phone;responses.indiHomeNum;responses.rate;responses.crewId;responses.selectedOptions;responses.comments;;responses.region_new;responses.region;responses.witel_new;responses.witel;responses.sto;responses.reopenCount;responses.ticketId;createdAt;updatedAt;crewId;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_001 \\ A_IPTV_001_001_002;groupedIncidents;responses.bookingId;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_001 \\ A_INTERNET_001_001_001;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_006;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_005;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_004;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_003 \\ A_INTERNET_001_003_003;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_003 \\ A_IPTV_001_003_001;groupedIncidents.A_IPTV \\ A_IPTV_001 \\ A_IPTV_001_003 \\ A_IPTV_001_003_002;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_009;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_004;groupedIncidents.A_VOICE \\ A_VOICE_001 \\ A_VOICE_001_002 \\ A_VOICE_001_002_005;groupedIncidents.A_INTERNET \\ A_INTERNET_001 \\ A_INTERNET_001_002 \\ A_INTERNET_001_002_004,,,,,
TAW2TANGERANG_336;nama teknisi;xxxx@email.com;88888888888;5;1;1;0;;2021-01-15T17:28:26+07:00;15/01/2021;Jan-21;2021-01-15T17:28:26+07:00;5fdad220fc04cc001ba8b08a;xxxx@email.com;nama pelanggan;88888888888;121xxxxxxx;5;;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan;;Datang tepat;REGIONAL 2;REGIONAL 2;JAKARTA;JAKARTA;CPA;0;IN87888772;2021-01-15T17:28:26+07:00;2021-01-15T17:28:26+07:00;F2CPA056;1;;;;;;;;;;;;;,,,
TAW2JAKTIM_125;nama teknisi;xxxx@email.com;88888888888;5;1;1;0;1;2021-03-10T17:09:17+07:00;10/03/2021;Mar-21;2021-03-10T17:09:17+07:00;5fe1fb3660aac2001aa74344;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;F2PDK015;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;JAKARTA;JAKARTA;PDK;0;IN84809189;2021-03-10T17:09:17+07:00;2021-03-10T17:09:17+07:00;;;;;;;;;;;;;;;,
16900271;nama teknisi;xxxx@email.com;88888888888;5;1;0;0;;2021-03-21T22:20:48+07:00;21/03/2021;Mar-21;2021-03-21T22:20:48+07:00;60549501b64c84001b3e5458;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;F2PDR095;Datang tepat waktu,Ramah,Menjelaskan layanan dengan baik;;;REGIONAL 2;REGIONAL 2;TANGERANG;TANGERANG;PDR;0;;2021-03-21T22:20:48+07:00;2021-03-21T22:20:48+07:00;;;{};1616237322720_0;;;;;;;;;;;,,,
98170656;nama teknisi;xxxx@email.com;88888888888;5;1;0;0;;2021-03-24T10:28:44+07:00;24/03/2021;Mar-21;2021-03-24T10:28:44+07:00;6056f424b64c84001b3e54ff;xxxx@email.com;nama pelanggan;88888888888;996xxxxxxx;5;F2CLD059;Datang tepat waktu,Ramah,Menjelaskan layanan dengan baik,Menyelesaikan pemasangan dengan cepat;;;REGIONAL 2;REGIONAL 2;TANGERANG;TANGERANG;CLD;0;;2021-03-24T10:28:44+07:00;2021-03-24T10:28:44+07:00;;;{};1616315180517_0;;;;;;;;;;;,,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-04-16T14:44:37+07:00;16/04/2021;Apr-21;2021-04-16T14:44:37+07:00;6050287a7f7c67001b5b8a46;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN96461528;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-04-16T14:45:08+07:00;16/04/2021;Apr-21;2021-04-16T14:45:08+07:00;6050287a7f7c67001b5b8a46;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN96461528;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-05-10T14:58:45+07:00;10/05/2021;Mei-21;2021-05-10T14:58:45+07:00;6081291bfefe61001ad78a13;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Datang tepat waktu,Ramah;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN98842617;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,,,,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-11-12T10:10:21+07:00;12/11/2021;Nov-21;2021-11-12T10:10:21+07:00;60a6cccbed9f9f6a84768b8e;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;DATEL KUJANG;BOGOR;BOGOR;BOO;0;IN116571621;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-12-02T22:46:52+07:00;02/12/2021;Des-21;2021-12-02T22:46:52+07:00;61a6fef8f9df2e001b4e3b1d;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;REGIONAL 2;BOGOR;BOGOR;BOO;0;IN118686947;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,,,,,
TAW2BOGOR_021;nama teknisi;xxxx@email.com;88888888888;05.00;8;8;0;2;2021-12-16T22:41:35+07:00;16/12/2021;Des-21;2021-12-16T22:41:35+07:00;60a6d4b6ed9f9f6a84c02bba;xxxx@email.com;nama pelanggan;88888888888;122xxxxxxx;5;A2BOO009;Datang tepat waktu,Ramah,Menjelaskan penyebab gangguan,Penampilan/ seragam teknisi rapi,Menyelesaikan gangguan dengan cepat;;;REGIONAL 2;JAKARTA;BOGOR;BOGOR;BOO;0;IN120578882;2021-04-16T14:44:37+07:00;2022-01-05T12:47:34+07:00;;;;;3;;;;;1;2;;;;,
