file_name,nik,nama_usaha,industri,sub_industri,jenis_kwitansi,no_kwitansi,tanggal,tahun,bulan,pihak_lain,jumlah_item,total_amount
kwitansi_001_202401_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202401-0001,2024-01-24,2024,1,Toko Bangunan Makmur,3,12815000
kwitansi_002_202401_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202401-0002,2024-01-06,2024,1,CV Aneka Jaya,3,14414000
kwitansi_003_202401_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202401-0001,2024-01-17,2024,1,Bengkel Truk Jaya Motor,3,37344000
kwitansi_004_202401_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202401-0002,2024-01-14,2024,1,SPBU Pertamina 34.123.45,4,37107000
kwitansi_005_202402_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202402-0001,2024-02-12,2024,2,PT Sumber Rejeki,2,16175436
kwitansi_006_202402_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202402-0002,2024-02-07,2024,2,CV Aneka Jaya,3,3843584
kwitansi_007_202402_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202402-0001,2024-02-11,2024,2,Bengkel Truk Jaya Motor,2,2994866
kwitansi_008_202402_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202402-0002,2024-02-08,2024,2,Toko Spare Part Sumber Baru,2,2545136
kwitansi_009_202403_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202403-0001,2024-03-14,2024,3,PT Cipta Boga Nusantara,2,15501855
kwitansi_010_202403_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202403-0002,2024-03-13,2024,3,CV Aneka Jaya,3,47525670
kwitansi_011_202403_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202403-0001,2024-03-04,2024,3,Bengkel Mitra Truk,4,55419840
kwitansi_012_202403_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202403-0002,2024-03-26,2024,3,Toko Spare Part Sumber Baru,4,44289057
kwitansi_013_202404_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202404-0001,2024-04-15,2024,4,Toko Bangunan Makmur,4,21572784
kwitansi_014_202404_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202404-0002,2024-04-18,2024,4,Ibu Ratna (Online Shop),3,9975476
kwitansi_015_202404_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202404-0001,2024-04-05,2024,4,Bengkel Mitra Truk,3,20747816
kwitansi_016_202404_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202404-0002,2024-04-16,2024,4,Bengkel Truk Jaya Motor,2,15327158
kwitansi_017_202405_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202405-0001,2024-05-18,2024,5,Toko Elektronik Makmur,2,7247854
kwitansi_018_202405_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202405-0002,2024-05-16,2024,5,PT Sinergi Distribusi,4,22753496
kwitansi_019_202405_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202405-0001,2024-05-13,2024,5,SPBU Pertamina 34.123.45,4,28163946
kwitansi_020_202405_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202405-0002,2024-05-22,2024,5,Toko Spare Part Sumber Baru,3,24540032
kwitansi_021_202406_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202406-0001,2024-06-08,2024,6,PT Cipta Boga Nusantara,4,38503409
kwitansi_022_202406_penjualan.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202406-0002,2024-06-19,2024,6,Toko Bangunan Makmur,2,11008347
kwitansi_023_202406_pembelian.jpg,3275016008853000,UD Susanto Jaya,Transportasi,Ekspedisi Kecil,PEMBELIAN,KP-202406-0001,2024-06-16,2024,6,Bengkel Mitra Truk,2,14218328
