file_name,nik,nama_usaha,industri,sub_industri,jenis_kwitansi,no_kwitansi,tanggal,pihak_lain,jumlah_item,total_amount
kwitansi_001_pembelian_367101.jpg,3671015401820466,PT Halim Makmur,Perdagangan,Toko Alat Tulis,PEMBELIAN,KP-202506-0001,2025-06-08,PT Distribusi Nusantara,2,34357000
kwitansi_002_pembelian_367401.jpg,3674012201850905,PT Santoso Mandiri,Perdagangan,Distributor Bahan Bangunan,PEMBELIAN,KP-202509-0001,2025-09-22,UD Barokah Supplier,2,36878000
kwitansi_003_pembelian_317401.jpg,3174016012732640,PT Firmansyah Makmur,Transportasi,Rental Kendaraan,PEMBELIAN,KP-202507-0001,2025-07-19,PT Aneka Pangan Sejahtera,2,15412000
kwitansi_004_pembelian_327501.jpg,3275010607902126,PT Susanto Mandiri,Perdagangan,Distributor Elektronik,PEMBELIAN,KP-202502-0001,2025-02-01,PT Distribusi Nusantara,2,22451000
kwitansi_005_penjualan_367101.jpg,3671016101811963,UD Gunawan Sejahtera,Pertanian,Distributor Hasil Tani,PENJUALAN,KJ-202403-0001,2024-03-12,PT Sinergi Distribusi,3,1523000
kwitansi_006_pembelian_317201.jpg,3172015110690312,PT Siregar Mandiri,Pertanian,Peternakan Ayam,PEMBELIAN,KP-202412-0001,2024-12-06,Toko Grosir Jaya,2,15862000
kwitansi_007_penjualan_317401.jpg,3174015901751662,UD Tanjung Abadi,Jasa,Bengkel,PENJUALAN,KJ-202406-0001,2024-06-16,CV Berkah Logistik,3,6340000
kwitansi_008_pembelian_367101.jpg,3671013108902854,UD Hutapea Mandiri,Kuliner,Katering,PEMBELIAN,KP-202409-0001,2024-09-11,PT Distribusi Nusantara,4,8807000
kwitansi_009_penjualan_317101.jpg,3171014105771889,CV Saputra Mandiri,Perdagangan,Grosir Pakaian,PENJUALAN,KJ-202401-0001,2024-01-29,Ibu Wulandari,2,21518000
kwitansi_010_penjualan_327501.jpg,3275012107840491,PT Panjaitan Mandiri,Perdagangan,Toko Alat Tulis,PENJUALAN,KJ-202401-0001,2024-01-25,Bpk. Agus Salim,3,1974000
kwitansi_011_penjualan_367401.jpg,3674016301811908,UD Simanjuntak Jaya,Perdagangan,Distributor Elektronik,PENJUALAN,KJ-202401-0001,2024-01-26,Bpk. Fajar Nugroho,2,16860000
kwitansi_012_penjualan_367401.jpg,3674010712812957,CV Lubis Mandiri,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202402-0001,2024-02-17,CV Berkah Logistik,3,30870000
kwitansi_013_penjualan_367101.jpg,3671015802750760,CV Wibowo Makmur,Jasa,Bengkel,PENJUALAN,KJ-202402-0001,2024-02-12,Ibu Wulandari,3,10941000
kwitansi_014_penjualan_317401.jpg,3174011203731792,CV Halim Mandiri,Kuliner,Katering,PENJUALAN,KJ-202506-0001,2025-06-13,Bpk. Agus Salim,2,1128000
kwitansi_015_penjualan_317301.jpg,3173015706850720,PT Firmansyah Abadi,Transportasi,Ekspedisi Kecil,PENJUALAN,KJ-202403-0001,2024-03-18,Ibu Siti Aminah,2,15681000
kwitansi_016_penjualan_327501.jpg,3275010902990076,PT Wijaya Makmur,Pertanian,Distributor Hasil Tani,PENJUALAN,KJ-202402-0001,2024-02-13,Ibu Wulandari,3,15273000
kwitansi_017_penjualan_367101.jpg,3671011009710295,UD Siregar Sejahtera,Manufaktur,Furniture,PENJUALAN,KJ-202501-0001,2025-01-16,CV Berkah Logistik,3,58891000
kwitansi_018_penjualan_317301.jpg,3173014812731531,PT Kurniawan Sejahtera,Perdagangan,Distributor Elektronik,PENJUALAN,KJ-202506-0001,2025-06-20,Bpk. Hartono,2,7483000
kwitansi_019_pembelian_367101.jpg,3671016012760030,PT Kusuma Makmur,Manufaktur,Konveksi,PEMBELIAN,KP-202412-0001,2024-12-09,Toko Grosir Jaya,3,14205000
