cluster_id,representative_nik,sub_industry,region,risk_score,centrality
0,3271016104961970,Percetakan,Region 3,0.701,0.21052631578947367
1,3275010410660716,Furniture,Region 1,0.616,0.15873015873015872
2,3271016803001535,Bengkel,Region 4,0.889,0.12643678160919541
3,3171011710730644,Peternakan Ayam,Region 4,0.785,0.13461538461538464
4,3671011408972037,Distributor Hasil Tani,Region 4,0.766,0.1625
5,3172010211710047,Rental Kendaraan,Region 2,0.792,0.12359550561797752
6,3671015807890575,Peternakan Ayam,Region 2,0.667,0.14141414141414144
7,3671015104861717,Peternakan Ayam,Region 3,0.643,0.19607843137254902
8,3271016801942212,Rental Kendaraan,Region 3,0.837,0.20930232558139533
9,3671014811771134,Furniture,Region 3,0.878,0.1935483870967742
10,3271010907952253,Rental Kendaraan,Region 1,0.722,0.11650485436893203
11,3671010109722432,Ekspedisi Kecil,Region 4,0.716,0.11538461538461539
12,3671012508702282,Ekspedisi Kecil,Region 3,0.0322586395204725,0.15384615384615385
13,3671012904020393,Jasa Konstruksi Kecil,Region 1,0.743,0.09821428571428571
14,3275016109692783,Ekspedisi Kecil,Region 4,0.688,0.12380952380952381
15,3671010301672236,Ekspedisi Kecil,Region 3,0.904,0.1724137931034483
16,3172012402912736,Toko Sembako,Region 3,0.854,0.11702127659574468
17,3671014208691326,Konveksi,Region 4,0.928,0.12222222222222223
18,3271015602902946,Restoran,Region 3,0.016269984907963386,0.16216216216216217
19,3271017007770272,Distributor Hasil Tani,Region 4,0.808,0.1134020618556701
20,3171016012661447,Furniture,Region 2,0.658,0.14473684210526316
21,3671011111911137,Bakery,Region 2,0.8,0.13095238095238093
22,3671014211982618,Peternakan Ayam,Region 1,0.776,0.1518987341772152
23,3175012710902196,Pengolahan Makanan Ringan,Region 1,0.856,0.18518518518518517
24,3671012101860058,Ekspedisi Kecil,Region 1,0.819,0.125
25,3276012012931129,Distributor Hasil Tani,Region 4,0.003177917514301182,0.19230769230769232
26,3276012611012437,Distributor Hasil Tani,Region 3,0.845,0.16666666666666666
27,3271014206871102,Peternakan Ayam,Region 3,0.62,0.14102564102564102
28,3275016712012650,Rental Kendaraan,Region 1,0.832,0.13953488372093023
29,3173015603950324,Toko Sembako,Region 2,0.823,0.13414634146341464
30,3671015609971455,Ekspedisi Kecil,Region 1,0.757,0.16417910447761194
31,3175012706802944,Distributor Hasil Tani,Region 3,0.867,0.18055555555555555
32,3173010105940480,Konveksi,Region 3,0.86,0.16129032258064516
33,3671014912970468,Furniture,Region 4,0.901,0.16901408450704225
34,3271016308831217,Distributor Hasil Tani,Region 3,0.516,0.1518987341772152
35,3671016005000447,Restoran,Region 4,0.587,0.18309859154929578
36,3171010904982215,Ekspedisi Kecil,Region 1,0.569,0.16666666666666669
37,3671016207032141,Ekspedisi Kecil,Region 1,0.746,0.18518518518518517
