application_id,NIK,cif_number,application_date,customer_type,company_name,legal_entity,owner_name,owner_gender,owner_age,owner_marital_status,owner_education,province,city,district,region,branch_name,industry,sub_industry,business_age_year,employee_count,monthly_turnover_est,transaction_frequency_monthly,loan_requested,jenis_kredit_diajukan,tenor_diajukan_bulan,tujuan_penggunaan_kredit,collateral_type,collateral_location,collateral_province,collateral_city,collateral_size_m2,collateral_market_value,collateral_liquidation_value,collateral_ratio,certificate_type,ownership_match,estimated_dsr,eligibility_score,label,rm_id,status_dhn,dhn_alasan,slik_n_loans,slik_worst_collectability,slik_n_banks,slik_total_outstanding,slik_total_installment_other,slik_avg_tenor_month,slik_has_macet,slik_has_credit_history,bank_n_accounts,bank_best_avg_balance_6m,bank_total_avg_credit,bank_total_avg_debit,bank_total_overdraft_6m,bank_current_balance_total,bank_best_current_balance,bank_any_dormant,net_profit_2024,net_profit_2025,operating_cashflow_2024,operating_cashflow_2025,revenue_2024,revenue_2025,total_asset_2024,total_asset_2025,total_liability_2024,total_liability_2025,revenue_growth_pct,profit_margin_2025,liability_to_asset_2025,agunan_kelurahan,land_area_m2,building_area_m2,nilai_tanah_per_m2,nilai_bangunan_per_m2,rm_name,rm_branch_name,rm_region,jabatan,level,kapasitas_max_nasabah,join_date,dsr_capped,is_female_owner,has_dhn_flag,bunga_persen_diajukan,cicilan_bulanan_pengajuan,loan_to_annual_revenue,kategori_tenor_diajukan,kategori_nominal_diajukan,flag_kur_di_luar_plafon
APP202600001,3276010601750001,CIF1000001,2025-07-08,UMKM,UD Santoso Abadi,UD,Budi Panjaitan,L,51,Menikah,S2,Jawa Barat,Depok,Sukmajaya,Region 2,KCP Puri Indah,Manufaktur,Konveksi,14,9,2672137,66,300000000,KI,54,Pembelian mesin produksi tambahan usaha Konveksi,Rumah,"Poris Plawad, Tangerang",Banten,Tangerang,423.4,2328496000,1862796800,7.76,HGB,Ya,3.0,0.804,Diterima,RM0136,Tidak,Tidak Berlaku,1.0,1.0,1.0,87078357.0,2882804.0,36.0,0.0,1,2,19800614,4408782,3829344,0,22715525,13581790,0,3405584.0,3318494.0,3039455.0,4499938.0,29666491.0,32065651.0,48148218.0,37084511.0,27015813.0,18787312.0,0.0809,0.1035,0.5066,Poris Plawad,187.3,236.1,8020000,3500000,Joko Situmorang,KCP Puri Indah,Kantor Wilayah Jakarta BSD,Relationship Banking Officer,Senior RB,10,2018-10-01,3.0,0,0,10.0,8055556.0,9.356,Panjang (>36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600002,3172010301920002,CIF1000002,2025-03-23,UMKM,PT Panjaitan Jaya,CV,Andi Hidayat,L,34,Cerai Hidup,S2,DKI Jakarta,Jakarta Utara,Kramat Jati,Region 1,KCP Jatinegara,Transportasi,Rental Kendaraan,1,3,1807917,39,75000000,KUR,24,Tambahan modal kerja usaha Rental Kendaraan,Rumah,"Pluit, Jakarta Utara",DKI Jakarta,Jakarta Utara,174.8,3724038000,2979230400,49.65,HGB,Ya,3.0,0.641,Diterima,RM0191,Tidak,Tidak Berlaku,2.0,2.0,2.0,219070769.0,16155953.0,24.0,0.0,1,1,4014256,1124770,1040039,0,1718267,1718267,0,2907631.0,2602253.0,3572130.0,2863796.0,22347316.0,21695009.0,27256315.0,35323008.0,17484128.0,9380894.0,-0.0292,0.1199,0.2656,Pluit,113.0,61.8,29970000,5460000,Dedi Siregar,KCP Jatinegara,Kantor Wilayah 15 (Jakarta Timur),Relationship Banking Officer,Junior RB,9,2022-10-01,3.0,0,0,6.0,3500000.0,3.457,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600003,3671010604800003,CIF1000003,2025-08-20,UMKM,CV Hutapea Mandiri,PT,Doni Pratama,L,46,Cerai Hidup,S1,Banten,Tangerang,Bekasi Timur,Region 4,KCP Depok Beji,Manufaktur,Pengolahan Makanan Ringan,17,33,1698736,59,150000000,KUR,24,Tambahan modal kerja usaha Pengolahan Makanan Ringan,Tanah,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,67.0,1681700000,1345360000,11.21,HGB,Ya,3.0,0.459,Ditolak,RM0257,Tidak,Tidak Berlaku,2.0,4.0,2.0,135687676.0,15096128.0,24.0,0.0,1,1,14489012,1394768,1222864,1,3156322,3156322,1,5615079.0,3670504.0,7404291.0,4126254.0,23914503.0,20384842.0,34076107.0,37104928.0,17322819.0,11862908.0,-0.1476,0.1801,0.3197,Sukabumi Selatan,67.0,0.0,25100000,5500000,Anton Tanjung,KCP Depok Beji,Kantor Wilayah 15 (Jakarta Timur),Relationship Banking Officer,Senior RB,19,2016-12-24,3.0,0,0,6.0,7000000.0,7.358,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600004,3173016001890004,CIF1000004,2025-11-02,UMKM,PT Situmorang Mandiri,UD,Nina Firmansyah,P,37,Menikah,S1,DKI Jakarta,Jakarta Barat,Sukmajaya,Region 3,KCP Depok Margonda,Transportasi,Rental Kendaraan,12,79,1135105,98,200000000,KUR,24,Tambahan modal kerja usaha Rental Kendaraan,Ruko,"Tebet Timur, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,200.6,3647200000,2917760000,18.24,HGB,Ya,3.0,0.641,Diterima,RM0248,Tidak,Tidak Berlaku,1.0,2.0,1.0,431167857.0,11828084.0,48.0,0.0,1,2,8551321,2238798,2088600,0,6427987,6110665,1,1445890.0,1322488.0,1184829.0,1403260.0,14154253.0,13621260.0,26952196.0,16955332.0,13692145.0,11385685.0,-0.0377,0.0971,0.6715,Tebet Timur,121.8,78.8,26360000,5540000,Kartika Saputra,KCP Depok Margonda,Kantor Wilayah 15 (Jakarta Timur),Relationship Banking Officer,Junior RB,18,2018-07-20,3.0,1,0,6.0,9333333.0,14.683,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600005,3275011505030005,CIF1000005,2025-10-11,UMKM,UD Tanjung Sejahtera,PT,Sutrisno Nugroho,L,23,Cerai Hidup,D3,Jawa Barat,Bekasi,Kramat Jati,Region 4,KCP Karawaci,Manufaktur,Furniture,11,5,862772,120,750000000,KI,54,Pembelian mesin produksi tambahan usaha Furniture,Ruko,"Kemiri Muka, Depok",Jawa Barat,Depok,316.3,1978268000,1582614400,2.64,HGB,Ya,3.0,0.688,Diterima,RM0151,Tidak,Tidak Berlaku,1.0,2.0,1.0,20377147.0,1601924.0,48.0,0.0,1,1,10845679,717577,581630,0,15753449,15753449,0,1549571.0,2045818.0,1311581.0,2032795.0,8112679.0,10353267.0,15109683.0,17096758.0,8408746.0,6675415.0,0.2762,0.1976,0.3904,Kemiri Muka,159.0,157.3,8920000,3560000,Fauzi Wijaya,KCP Karawaci,Kantor Wilayah Jakarta BSD,Relationship Banking Officer,Senior RB,10,2023-06-22,3.0,0,0,10.0,20138889.0,72.441,Panjang (>36 bln),>500jt (KMK/KI saja),0
APP202600006,3671012904920006,CIF1000006,2025-12-26,UMKM,CV Simanjuntak Sejahtera,PT,Sutrisno Firmansyah,L,34,Belum Menikah,SMA/SMK,Banten,Tangerang,Cengkareng,Region 3,KCP Serpong,Jasa,Jasa Konstruksi Kecil,16,13,1651277,100,50000000,KUR,24,Tambahan modal kerja usaha Jasa Konstruksi Kecil,Ruko,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,457.8,10271826000,8217460800,205.44,HGB,Ya,1.89,0.765,Diterima,RM0176,Tidak,Tidak Berlaku,1.0,1.0,1.0,12976540.0,785577.0,36.0,0.0,1,1,40816074,1577663,1139914,0,31394462,31394462,0,1275756.0,1592113.0,1372760.0,1346060.0,17971780.0,19815331.0,35152022.0,35685285.0,18879700.0,15709659.0,0.1026,0.0803,0.4402,Gunung,215.1,242.7,40950000,6030000,Hadi Simanjuntak,KCP Serpong,Kantor Wilayah Jakarta BSD,Relationship Banking Officer,Junior RB,17,2017-06-20,1.89,0,0,6.0,2333333.0,2.523,Menengah (13-36 bln),<=50jt (KUR Mikro),0
APP202600007,3171015211010007,CIF1000007,2025-10-05,UMKM,UD Saputra Sejahtera,UD,Kartika Situmorang,P,25,Cerai Hidup,SMA/SMK,DKI Jakarta,Jakarta Pusat,Sukmajaya,Region 2,KCP Kedoya,Manufaktur,Furniture,9,42,1728598,84,500000000,KI,48,Pembelian mesin produksi tambahan usaha Furniture,Tanah,"Menteng, Jakarta Pusat",DKI Jakarta,Jakarta Pusat,75.8,4303166000,3442532800,8.61,SHM,Ya,3.0,0.447,Ditolak,RM0123,Tidak,Tidak Berlaku,2.0,4.0,2.0,73052631.0,6138041.0,30.0,0.0,1,2,22284012,2775769,2363554,1,12547146,7175297,1,1669185.0,1882141.0,1720544.0,2517712.0,18215499.0,20743187.0,32175202.0,38651400.0,7001202.0,21601682.0,0.1388,0.0907,0.5589,Menteng,75.8,0.0,56770000,5860000,Suryani Simanjuntak,KCP Kedoya,Kantor Wilayah Jakarta BSD,Relationship Banking Officer,Junior RB,11,2015-06-16,3.0,1,0,10.0,14583333.0,24.104,Panjang (>36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600008,3674013005710008,CIF1000008,2025-03-10,UMKM,UD Rahman Sejahtera,PT,Gunawan Handoko,L,55,Cerai Mati,S2,Jawa Barat,Tangerang Selatan,Serpong,Region 4,KCP Tangerang Kota,Kuliner,Warung Makan,12,47,2784586,150,75000000,KUR,30,Tambahan modal kerja usaha Warung Makan,Gudang,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,869.5,6851499000,5481199200,91.35,SHM,Ya,2.08,0.448,Ditolak,RM0144,Tidak,Tidak Berlaku,1.0,4.0,1.0,73911070.0,2908960.0,36.0,0.0,1,1,13033497,2994080,2766627,0,21487836,21487836,0,6437085.0,5549945.0,5409081.0,5939956.0,34398538.0,33415035.0,56547222.0,61696917.0,39185570.0,12972525.0,-0.0286,0.1661,0.2103,Cakung Barat,382.6,486.9,13110000,3770000,Dimas Tanjung,KCP Tangerang Kota,Kantor Wilayah Jakarta BSD,Relationship Banking Officer,Senior RB,20,2017-02-05,2.08,0,0,6.0,2875000.0,2.244,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600009,3172016002870009,CIF1000009,2026-01-25,UMKM,UD Gunawan Sejahtera,UD,Maya Nugroho,P,39,Menikah,SMA/SMK,DKI Jakarta,Jakarta Utara,Serpong,Region 1,KCP Menteng Raya,Perdagangan,Distributor Elektronik,10,14,1372133,121,200000000,KUR,36,Tambahan modal kerja usaha Distributor Elektronik,Rumah,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,541.9,5789253000,4631402400,28.95,HGB,Ya,3.0,0.78,Diterima,RM0050,Tidak,Tidak Berlaku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,2352073,1407740,1372057,0,1858341,1858341,0,963766.0,1364470.0,902195.0,1799324.0,13286666.0,16465604.0,22729468.0,32447234.0,6820403.0,21315927.0,0.2393,0.0829,0.6569,Kramat Jati,292.6,249.3,15960000,4490000,Yuni Suryadi,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2023-03-20,3.0,1,0,6.0,6555556.0,12.147,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
APP202600010,3271016610890010,CIF1000010,2026-06-21,UMKM,CV Permana Mandiri,CV,Putri Simanjuntak,P,37,Menikah,SMA/SMK,Jawa Barat,Bogor,Serpong,Region 3,KC Gatot Subroto,Pertanian,Distributor Hasil Tani,10,45,693325,41,100000000,KUR,24,Tambahan modal kerja usaha Distributor Hasil Tani,Rumah,"Pluit, Jakarta Utara",DKI Jakarta,Jakarta Utara,630.2,11760744000,9408595200,117.61,HGB,Ya,3.0,0.443,Ditolak,RM0012,Tidak,Tidak Berlaku,3.0,3.0,3.0,706196193.0,40528551.0,40.0,0.0,1,1,8781566,446081,338479,0,6936981,6936981,0,1471248.0,1043222.0,1191292.0,1248844.0,11149235.0,8319906.0,16173298.0,11677948.0,9525336.0,3789781.0,-0.2538,0.1254,0.3245,Pluit,369.2,261.0,28320000,5000000,Irfan Siregar,KC Gatot Subroto,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,15,2015-08-03,3.0,1,0,6.0,4666667.0,12.019,Menengah (13-36 bln),50-500jt (KUR Kecil/KMK/KI),0
