application_id,NIK,company_name,owner_name,industry,sub_industry,province,city,branch_name,region,rm_id,rm_name,rm_branch_name,level,loan_requested,collateral_type,collateral_market_value,collateral_ratio,estimated_dsr,revenue_growth_pct,profit_margin_2025,slik_worst_collectability,status_dhn,bank_best_avg_balance_6m,bank_best_current_balance,identity_passed,character_score,character_notes,collateral_score,collateral_notes,financial_score,financial_notes,cashflow_score,cashflow_notes,risk_score,decision,zone,jenis_kredit_rekomendasi,nominal_disetujui,jangka_waktu_bulan,bunga_persen,insight,insight_kategori,label
APP202600001,3276010601750001,UD Santoso Abadi,Budi Panjaitan,Manufaktur,Konveksi,Jawa Barat,Depok,KCP Bogor Baranangsiang,Region 2,RM0020,Indah Kusuma,KCP Bogor Baranangsiang,Junior RB,300000000,Rumah,2328496000,7.76,3.0,0.0809,0.1035,1.0,Tidak,19800614,13581790,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 776% dari pinjaman,0.625,"Omset tumbuh +8.1% (2024→2025), margin laba 10.3%",0.304,"Saldo rata-rata 7.4x omset bulanan, saldo real-time 5.1x omset bulanan",0.825,Layak,Hijau,KI,300000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600002,3172010301920002,UD Wijaya Mandiri,Andi Hidayat,Jasa,Bengkel,DKI Jakarta,Jakarta Utara,KCP Bekasi Barat,Region 1,RM0010,Indah Rahman,KCP Bekasi Barat,Senior RB,75000000,Rumah,3724038000,49.65,3.0,-0.0292,0.1199,2.0,Tidak,4014256,1718267,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 2 bank,1.0,LTV agunan 4965% dari pinjaman,0.602,"Omset menurun -2.9% (2024→2025), margin laba 12.0%",0.079,"Saldo rata-rata 2.2x omset bulanan, saldo real-time 1.0x omset bulanan",0.713,Layak,Hijau,KMK,75000000,12,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600003,3671010604800003,UD Kusuma Sejahtera,Doni Pratama,Transportasi,Ekspedisi Kecil,Banten,Tangerang,KCP Cibubur,Region 3,RM0039,Slamet Hutapea,KCP Cibubur,Senior RB,150000000,Tanah,1681700000,11.21,3.0,-0.1476,0.1801,4.0,Tidak,14489012,3156322,True,0.2,Kolektibilitas terburuk: Diragukan di 2 bank,1.0,LTV agunan 1121% dari pinjaman,0.611,"Omset menurun -14.8% (2024→2025), margin laba 18.0%",0.013,"Saldo rata-rata 8.5x omset bulanan, saldo real-time 1.9x omset bulanan, overdraft 1x dalam 6 bulan, memiliki rekening dormant",0.504,Perlu Review Ulang,Kuning,KMK,150000000,12,12.0,Perlu review ulang karena skor gabungan (0.50) berada di area abu-abu — disarankan OTS/wawancara lanjutan sebelum keputusan final.,Perlu review ulang karena,Ditolak
APP202600004,3173016001890004,UD Susanto Makmur,Nina Firmansyah,Perdagangan,Toko Alat Tulis,DKI Jakarta,Jakarta Barat,KCP Bogor Baranangsiang,Region 3,RM0017,Sutrisno Suryadi,KCP Bogor Baranangsiang,Senior RB,200000000,Ruko,3647200000,18.24,3.0,-0.0377,0.0971,2.0,Tidak,8551321,6110665,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,1.0,LTV agunan 1824% dari pinjaman,0.536,"Omset menurun -3.8% (2024→2025), margin laba 9.7%",0.164,"Saldo rata-rata 7.5x omset bulanan, saldo real-time 5.4x omset bulanan, memiliki rekening dormant",0.705,Layak,Hijau,KI,200000000,36,9.5,Layak tapi Cashflow tergolong lemah (skor di bawah 0.5) — disarankan tetap dimonitor meski keputusan akhir disetujui.,Layak tapi,Diterima
APP202600005,3275011505030005,CV Wijaya Sejahtera,Sutrisno Nugroho,Transportasi,Rental Kendaraan,Jawa Barat,Bekasi,KCP Bogor Baranangsiang,Region 3,RM0019,Maya Lubis,KCP Bogor Baranangsiang,Senior RB,750000000,Ruko,1978268000,2.64,3.0,0.2762,0.1976,2.0,Tidak,10845679,15753449,True,0.75,Kolektibilitas terburuk: Dalam Perhatian Khusus di 1 bank,1.0,LTV agunan 264% dari pinjaman,0.866,"Omset tumbuh +27.6% (2024→2025), margin laba 19.8%",0.728,"Saldo rata-rata 12.6x omset bulanan, saldo real-time 18.3x omset bulanan",0.832,Layak,Hijau,KI,750000000,36,9.5,"Layak karena seluruh komponen (Character 0.75, Financial 0.87, Collateral 1.00, Cashflow 0.73) berada di zona aman.",Layak karena,Diterima
APP202600006,3671012904920006,UD Suryadi Sejahtera,Sutrisno Firmansyah,Jasa,Bengkel,Banten,Tangerang,KCP Tangerang BSD,Region 1,RM0021,Slamet Situmorang,KCP Tangerang BSD,Junior RB,50000000,Ruko,10271826000,205.44,1.42,0.1026,0.0803,1.0,Tidak,40816074,31394462,True,1.0,Kolektibilitas terburuk: Lancar di 1 bank,1.0,LTV agunan 20544% dari pinjaman,0.576,"Omset tumbuh +10.3% (2024→2025), margin laba 8.0%",0.917,"Saldo rata-rata 24.7x omset bulanan, saldo real-time 19.0x omset bulanan",0.878,Layak,Hijau,KMK,50000000,12,9.5,"Layak karena seluruh komponen (Character 1.00, Financial 0.58, Collateral 1.00, Cashflow 0.92) berada di zona aman.",Layak karena,Diterima
APP202600007,3171015211010007,PT Panjaitan Mandiri,Kartika Situmorang,Perdagangan,Toko Sembako,DKI Jakarta,Jakarta Pusat,KCP Pluit,Region 1,RM0034,Iwan Nugroho,KCP Pluit,Junior RB,500000000,Tanah,4303166000,8.61,3.0,0.1388,0.0907,4.0,Tidak,22284012,7175297,True,0.2,Kolektibilitas terburuk: Diragukan di 2 bank,1.0,LTV agunan 861% dari pinjaman,0.625,"Omset tumbuh +13.9% (2024→2025), margin laba 9.1%",0.177,"Saldo rata-rata 12.9x omset bulanan, saldo real-time 4.2x omset bulanan, overdraft 1x dalam 6 bulan, memiliki rekening dormant",0.536,Perlu Review Ulang,Kuning,KI,500000000,36,12.0,Perlu review ulang karena skor gabungan (0.54) berada di area abu-abu — disarankan OTS/wawancara lanjutan sebelum keputusan final.,Perlu review ulang karena,Ditolak
APP202600008,3674013005710008,UD Kurniawan Jaya,Gunawan Handoko,Jasa,Jasa Konstruksi Kecil,Jawa Barat,Tangerang Selatan,KCP Tangerang BSD,Region 3,RM0021,Slamet Situmorang,KCP Tangerang BSD,Junior RB,75000000,Gudang,6851499000,91.35,1.88,-0.0286,0.1661,4.0,Tidak,13033497,21487836,True,0.2,Kolektibilitas terburuk: Diragukan di 1 bank,1.0,LTV agunan 9135% dari pinjaman,0.683,"Omset menurun -2.9% (2024→2025), margin laba 16.6%",0.291,"Saldo rata-rata 4.7x omset bulanan, saldo real-time 7.7x omset bulanan",0.562,Layak Bersyarat,Kuning,KMK,75000000,12,12.0,"Layak bersyarat karena Character, Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Ditolak
APP202600009,3172016002870009,UD Wijaya Mandiri,Maya Nugroho,Transportasi,Ekspedisi Kecil,DKI Jakarta,Jakarta Utara,KCP Cibubur,Region 4,RM0039,Slamet Hutapea,KCP Cibubur,Senior RB,200000000,Rumah,5789253000,28.95,3.0,0.2393,0.0829,0.0,Tidak,2352073,1858341,True,0.6,Belum memiliki riwayat kredit di SLIK (nasabah baru),1.0,LTV agunan 2895% dari pinjaman,0.665,"Omset tumbuh +23.9% (2024→2025), margin laba 8.3%",0.074,"Saldo rata-rata 1.7x omset bulanan, saldo real-time 1.4x omset bulanan",0.664,Layak Bersyarat,Kuning,KI,200000000,36,12.0,Layak bersyarat karena Cashflow — disarankan tambahan agunan/penjamin atau plafon diturunkan.,Layak bersyarat karena,Diterima
APP202600010,3271016610890010,CV Rahman Jaya,Putri Simanjuntak,Perdagangan,Grosir Pakaian,Jawa Barat,Bogor,KCP Pluit,Region 3,RM0033,Yudi Rahman,KCP Pluit,Senior RB,100000000,Rumah,11760744000,117.61,3.0,-0.2538,0.1254,3.0,Tidak,8781566,6936981,True,0.45,Kolektibilitas terburuk: Kurang Lancar di 3 bank,1.0,LTV agunan 11761% dari pinjaman,0.482,"Omset menurun -25.4% (2024→2025), margin laba 12.5%",0.549,"Saldo rata-rata 12.7x omset bulanan, saldo real-time 10.0x omset bulanan",0.625,Layak Bersyarat,Kuning,KMK,100000000,12,12.0,"Layak bersyarat karena Character, Financial — disarankan tambahan agunan/penjamin atau plafon diturunkan.",Layak bersyarat karena,Ditolak
