rm_id,n_nasabah,n_diterima,avg_eligibility_score,std_eligibility_score,total_loan_requested,total_approved_credit,dominant_industry,dominant_sub_industry,dominant_region,n_industry,n_sub_industry,n_region,approval_rate,rm_name,branch_name,region,jabatan,level,kapasitas_max_nasabah,join_date,rm_label,cluster_id,jaccard_strength,value_centrality_credit
RM0001,3,3,0.7623333333333333,0.09928914005737646,1275000000,1275000000.0,Transportasi,Rental Kendaraan,Region 1,3,3,2,1.0,Doni Hidayat,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,6,2025-08-29,Doni Hidayat,0,0.030673896916901172,90100000000.0
RM0002,15,13,0.7094,0.14801679441391585,5500000000,4300000000.0,Manufaktur,Furniture,Region 1,6,10,4,0.8666666666666667,Wulan Situmorang,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,17,2016-02-10,Wulan Situmorang,1,0.08272757996368289,323900000000.0
RM0003,11,8,0.6093636363636364,0.14304074435437808,2825000000,1625000000.0,Pertanian,Peternakan Ayam,Region 3,4,7,3,0.7272727272727273,Slamet Kusuma,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,17,2025-07-02,Slamet Kusuma,0,0.0885778804051348,202025000000.0
RM0004,21,18,0.6911904761904762,0.11382338030809798,6525000000,4825000000.0,Perdagangan,Peternakan Ayam,Region 1,5,11,4,0.8571428571428571,Slamet Gunawan,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,25,2021-06-13,Slamet Gunawan,1,0.09563112752318406,394225000000.0
RM0005,10,10,0.7464999999999999,0.08669775083587808,4275000000,4275000000.0,Pertanian,Distributor Hasil Tani,Region 1,3,7,4,1.0,Putri Santoso,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,11,2024-11-27,Putri Santoso (RM0005),0,0.07932379319080086,280600000000.0
RM0006,7,6,0.7055714285714286,0.08358200991213585,2150000000,1650000000.0,Manufaktur,Pengolahan Makanan Ringan,Region 2,3,5,3,0.8571428571428571,Wati Lubis,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,7,2023-02-26,Wati Lubis (RM0006),1,0.04928151619889426,118075000000.0
RM0007,14,11,0.6957142857142857,0.12327482029466244,6075000000,4875000000.0,Manufaktur,Peternakan Ayam,Region 2,5,9,4,0.7857142857142857,Nina Kurniawan,KCP Melawai,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,18,2017-03-28,Nina Kurniawan,0,0.08754587651937712,347025000000.0
RM0008,9,8,0.6972222222222223,0.09696362433636874,3750000000,3000000000.0,Manufaktur,Pengolahan Makanan Ringan,Region 2,4,7,3,0.8888888888888888,Yudi Situmorang,KCP Kyai Maja,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2022-07-08,Yudi Situmorang,3,0.06663098482848907,193975000000.0
RM0009,9,9,0.7170000000000001,0.08855506761332183,1925000000,1925000000.0,Kuliner,Katering,Region 1,6,9,4,1.0,Rian Kusuma,KCP Kyai Maja,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2019-05-25,Rian Kusuma,3,0.06842377874484112,162275000000.0
RM0010,6,5,0.653,0.09073918668359332,1475000000,1400000000.0,Transportasi,Ekspedisi Kecil,Region 2,3,5,4,0.8333333333333334,Dian Halim,KCP Kyai Maja,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,7,2017-04-30,Dian Halim (RM0010),0,0.08550902816280055,171750000000.0
RM0011,13,11,0.6696923076923077,0.08279934039127827,3575000000,3275000000.0,Jasa,Warung Makan,Region 4,5,10,4,0.8461538461538461,Krisna Permana,KCP Kyai Maja,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2021-04-17,Krisna Permana (RM0011),3,0.07509559645704464,237625000000.0
RM0012,14,12,0.6817142857142857,0.11385174473946275,5650000000,5350000000.0,Kuliner,Furniture,Region 4,6,10,4,0.8571428571428571,Irfan Siregar,KC Gatot Subroto,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,15,2015-08-03,Irfan Siregar,1,0.08453399990814475,328475000000.0
RM0013,11,9,0.6564545454545455,0.14957096217940408,4050000000,3800000000.0,Transportasi,Rental Kendaraan,Region 3,5,10,4,0.8181818181818182,Indah Pratama,KC Gatot Subroto,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2024-10-31,Indah Pratama,0,0.07986380674217029,291275000000.0
RM0014,10,8,0.6666000000000001,0.10982025718822958,4350000000,3500000000.0,Kuliner,Distributor Elektronik,Region 4,5,7,3,0.8,Ayu Halim,KC Gatot Subroto,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2016-06-07,Ayu Halim,1,0.0650258835014586,235525000000.0
RM0015,9,8,0.7165555555555555,0.11348580430070439,2800000000,2300000000.0,Jasa,Jasa Konstruksi Kecil,Region 4,4,8,4,0.8888888888888888,Slamet Situmorang,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,15,2023-11-29,Slamet Situmorang,1,0.06804102619315085,188300000000.0
RM0016,14,11,0.6472857142857144,0.1421031199632742,3050000000,2400000000.0,Pertanian,Peternakan Ayam,Region 3,5,10,3,0.7857142857142857,Fauzi Rahman,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,18,2017-12-23,Fauzi Rahman (RM0016),2,0.09774513351867659,263325000000.0
RM0017,8,7,0.668125,0.1559509423779524,2700000000,2625000000.0,Manufaktur,Konveksi,Region 3,4,8,3,0.875,Yuni Firmansyah,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2025-11-09,Yuni Firmansyah,2,0.0696887931686913,221525000000.0
RM0018,9,7,0.6535555555555556,0.11899591496256409,2925000000,1975000000.0,Kuliner,Katering,Region 3,5,7,4,0.7777777777777778,Nina Gunawan,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2025-12-12,Nina Gunawan,1,0.05662688393840858,147000000000.0
RM0019,15,13,0.6997333333333333,0.1571939051284235,7050000000,5300000000.0,Pertanian,Peternakan Ayam,Region 4,6,11,4,0.8666666666666667,Fajar Susanto,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2025-02-28,Fajar Susanto,3,0.0930513107687544,389600000000.0
RM0020,8,7,0.690125,0.16269290747557852,950000000,850000000.0,Manufaktur,Rental Kendaraan,Region 4,4,6,3,0.875,Fauzi Handoko,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,10,2018-06-20,Fauzi Handoko,0,0.07842650353990271,144275000000.0
RM0021,11,11,0.691,0.05960033556952514,4200000000,4200000000.0,Pertanian,Rental Kendaraan,Region 2,6,8,3,1.0,Wahyu Susanto,KCP Prof. Supomo Tebet,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,13,2017-09-25,Wahyu Susanto (RM0021),0,0.08402864469363254,285400000000.0
RM0022,17,17,0.7452352941176471,0.0859807605018157,7200000000,7200000000.0,Pertanian,Distributor Hasil Tani,Region 1,6,10,4,1.0,Agus Hidayat,KCP Blok M,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,22,2017-03-03,Agus Hidayat (RM0022),2,0.09220573340407527,409275000000.0
RM0023,7,6,0.6557142857142857,0.09913242706217833,1675000000,1375000000.0,Kuliner,Bakery,Region 3,4,6,4,0.8571428571428571,Wulan Kusuma,KCP Blok M,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2022-09-17,Wulan Kusuma,2,0.06555893346666765,138700000000.0
RM0024,14,14,0.7127857142857142,0.057260778053539435,5400000000,5400000000.0,Jasa,Warung Makan,Region 4,6,10,4,1.0,Ayu Saputra,KCP Blok M,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,18,2023-11-23,Ayu Saputra,0,0.09247821425331486,357325000000.0
RM0025,9,7,0.6395555555555555,0.11633046796853255,3575000000,2275000000.0,Transportasi,Ekspedisi Kecil,Region 3,4,7,4,0.7777777777777778,Doni Simanjuntak,KCP Fatmawati,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,10,2023-09-18,Doni Simanjuntak,1,0.08257744174343752,197725000000.0
RM0026,8,7,0.702125,0.11320832566556223,1275000000,1175000000.0,Perdagangan,Pengolahan Makanan Ringan,Region 4,6,7,3,0.875,Ayu Setiawan,KCP Fatmawati,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,12,2023-10-28,Ayu Setiawan,2,0.06408153848635272,125075000000.0
RM0027,22,18,0.6668636363636363,0.13303572576193332,8900000000,7600000000.0,Kuliner,Toko Alat Tulis,Region 2,5,14,4,0.8181818181818182,Dian Pratama,KCP Fatmawati,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,24,2022-07-13,Dian Pratama (RM0027),1,0.08409985522096357,437850000000.0
RM0028,9,9,0.7466666666666666,0.09852410872471773,3650000000,3650000000.0,Jasa,Toko Alat Tulis,Region 3,5,9,3,1.0,Desi Saputra,KCP Pondok Indah,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,13,2020-04-05,Desi Saputra,2,0.06812982237662668,254450000000.0
RM0029,17,14,0.6898823529411765,0.10932685074636352,5425000000,4475000000.0,Manufaktur,Pengolahan Makanan Ringan,Region 2,6,12,4,0.8235294117647058,Rizky Siregar,KCP Pondok Indah,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,20,2016-09-15,Rizky Siregar,1,0.08468011299890534,316375000000.0
RM0030,7,6,0.668,0.12742187148732878,2450000000,2350000000.0,Transportasi,Rental Kendaraan,Region 4,4,6,3,0.8571428571428571,Yanti Susanto,KCP Pondok Indah,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2016-05-15,Yanti Susanto,0,0.07059303249213236,187900000000.0
RM0031,14,12,0.6603571428571428,0.14117125832060923,5650000000,5300000000.0,Transportasi,Rental Kendaraan,Region 3,6,10,4,0.8571428571428571,Krisna Kurniawan,KCP Pondok Indah,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,16,2016-04-11,Krisna Kurniawan,3,0.0960092286943135,350575000000.0
RM0032,16,12,0.6670625,0.16451442439291858,3425000000,2050000000.0,Kuliner,Restoran,Region 1,5,9,4,0.75,Nina Tanjung,KCP Cilandak,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,17,2021-10-25,Nina Tanjung,2,0.08922795381701913,247450000000.0
RM0033,15,12,0.6561333333333333,0.15631189821574532,3325000000,2425000000.0,Manufaktur,Furniture,Region 4,6,10,4,0.8,Retno Situmorang,KCP Cilandak,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,16,2019-03-16,Retno Situmorang,1,0.08580415583828213,230300000000.0
RM0034,10,9,0.6489,0.12913941648036392,3325000000,3250000000.0,Jasa,Rental Kendaraan,Region 3,6,9,3,0.9,Tri Halim,KCP Cilandak,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2017-03-13,Tri Halim,0,0.08139470955679684,236525000000.0
RM0035,9,8,0.7383333333333333,0.08496469855181032,2575000000,1575000000.0,Jasa,Jasa Konstruksi Kecil,Region 3,6,8,4,0.8888888888888888,Andi Suryadi,KCP Cilandak,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,13,2015-06-17,Andi Suryadi (RM0035),3,0.07011327323921317,171200000000.0
RM0036,16,14,0.694125,0.10841947856973548,3775000000,2875000000.0,Jasa,Toko Sembako,Region 1,5,13,4,0.875,Indah Tanjung,KCP Cilandak,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,20,2025-02-10,Indah Tanjung,2,0.08055162081732761,244150000000.0
RM0037,3,3,0.6629999999999999,0.09968450230602546,675000000,675000000.0,Jasa,Laundry,Region 1,3,3,3,1.0,Andi Suryadi,KCP Pasar Minggu,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2017-02-12,Andi Suryadi (RM0037),1,0.030651647257444948,53125000000.0
RM0038,20,17,0.6622,0.10467423148436347,7675000000,7075000000.0,Kuliner,Rental Kendaraan,Region 2,6,12,4,0.85,Wulan Wibowo,KCP Pasar Minggu,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,23,2025-06-08,Wulan Wibowo,2,0.10199285863656467,497700000000.0
RM0039,11,7,0.6353636363636364,0.11548097049061608,2200000000,725000000.0,Kuliner,Warung Makan,Region 3,5,8,4,0.6363636363636364,Desi Hutapea,KCP Pasar Minggu,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2025-12-02,Desi Hutapea,1,0.07670417538310771,139500000000.0
RM0040,14,12,0.6375000000000001,0.16650929749970764,5075000000,4275000000.0,Transportasi,Ekspedisi Kecil,Region 3,6,10,4,0.8571428571428571,Hadi Firmansyah,KCP Tebet Barat,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,16,2017-11-12,Hadi Firmansyah,2,0.09896034324650542,380325000000.0
RM0041,7,5,0.6151428571428571,0.13507211477753722,1700000000,650000000.0,Jasa,Distributor Hasil Tani,Region 2,4,6,4,0.7142857142857143,Retno Nugroho,KCP Tebet Barat,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2018-11-23,Retno Nugroho,3,0.061810620658987694,114950000000.0
RM0042,14,12,0.6517142857142858,0.10269703656231428,6050000000,5750000000.0,Kuliner,Bakery,Region 1,6,9,4,0.8571428571428571,Kartika Firmansyah,KCP Tebet Barat,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,17,2025-05-04,Kartika Firmansyah,0,0.09515915624968618,368600000000.0
RM0043,5,4,0.6756,0.08334146626979874,2425000000,2325000000.0,Pertanian,Peternakan Ayam,Region 4,4,4,3,0.8,Rudi Rahman,KCP Tebet Barat,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Junior RB,6,2019-07-23,Rudi Rahman,3,0.05929131212046007,178475000000.0
RM0044,16,14,0.6995,0.14194365079143204,5325000000,5175000000.0,Perdagangan,Ekspedisi Kecil,Region 2,6,11,4,0.875,Yusuf Kusuma,KCP Tebet Barat,Kantor Wilayah Jakarta Senayan,Relationship Banking Officer,Senior RB,18,2015-05-23,Yusuf Kusuma,2,0.09150034186198619,363500000000.0
RM0045,12,10,0.66225,0.13644854174909513,3025000000,2850000000.0,Kuliner,Pengolahan Makanan Ringan,Region 4,6,9,4,0.8333333333333334,Fitri Rahman,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,12,2015-01-24,Fitri Rahman,1,0.0774107981474357,240575000000.0
RM0046,16,15,0.718,0.1298932895367065,7950000000,6950000000.0,Pertanian,Laundry,Region 2,6,9,3,0.9375,Sri Wijaya,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Senior RB,17,2025-11-21,Sri Wijaya (RM0046),0,0.10272181651756467,436950000000.0
RM0047,18,15,0.6556666666666666,0.12011416138285229,8025000000,6975000000.0,Jasa,Distributor Hasil Tani,Region 3,6,13,4,0.8333333333333334,Sutrisno Rahman,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,18,2020-11-06,Sutrisno Rahman,0,0.09883867653715314,428950000000.0
RM0048,11,10,0.7070909090909091,0.08427746382687908,4400000000,3650000000.0,Pertanian,Distributor Hasil Tani,Region 4,4,8,3,0.9090909090909091,Indah Simanjuntak,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2018-04-11,Indah Simanjuntak,3,0.07498607244884156,230500000000.0
RM0049,24,21,0.6804166666666666,0.11275248639567022,9200000000,8325000000.0,Kuliner,Pengolahan Makanan Ringan,Region 2,6,15,4,0.875,Dian Siregar,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Senior RB,24,2021-01-05,Dian Siregar,1,0.1007345242849793,491575000000.0
RM0050,13,12,0.7320769230769231,0.11276336693748075,5050000000,4550000000.0,Perdagangan,Distributor Elektronik,Region 1,6,11,4,0.9230769230769231,Yuni Suryadi,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,15,2023-03-20,Yuni Suryadi,2,0.08715350877779919,293200000000.0
RM0051,7,5,0.6537142857142857,0.1418939912818889,1975000000,1750000000.0,Kuliner,Distributor Hasil Tani,Region 2,5,7,3,0.7142857142857143,Dedi Setiawan,KCP Menteng Raya,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,8,2022-08-08,Dedi Setiawan,3,0.06339024922622202,135750000000.0
RM0052,13,11,0.6646923076923077,0.14070677821589633,6950000000,5850000000.0,Pertanian,Distributor Hasil Tani,Region 2,5,9,4,0.8461538461538461,Novi Setiawan,KCP Gajah Mada,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,16,2021-12-10,Novi Setiawan,0,0.10140703746560924,438850000000.0
RM0053,13,11,0.658923076923077,0.14574490359212194,4275000000,3975000000.0,Transportasi,Furniture,Region 1,5,8,4,0.8461538461538461,Retno Firmansyah,KCP Gajah Mada,Kantor Wilayah Jakarta Kemayoran,Relationship Banking Officer,Junior RB,17,2021-09-18,Retno Firmansyah,2,0.08949595267688439,300300000000.0
