atr_bpn_id,NIK,asset_type,certificate_type,certificate_number,provinsi,kota,kecamatan,kelurahan,land_area_m2,building_area_m2,nilai_tanah_per_m2,nilai_bangunan_per_m2,nilai_tanah_total,nilai_bangunan_total,total_collateral_value,ownership_match
ATR000001,3276010601750001,Rumah,HGB,14452/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,187.3,236.1,8020000,3500000,1502146000,826350000,2328496000,Ya
ATR000002,3172010301920002,Rumah,HGB,36375/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,113.0,61.8,29970000,5460000,3386610000,337428000,3724038000,Ya
ATR000003,3671010604800003,Tanah,HGB,88248/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,67.0,0.0,25100000,5500000,1681700000,0,1681700000,Ya
ATR000004,3173016001890004,Ruko,HGB,45461/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,121.8,78.8,26360000,5540000,3210648000,436552000,3647200000,Ya
ATR000005,3275011505030005,Ruko,HGB,41599/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,159.0,157.3,8920000,3560000,1418280000,559988000,1978268000,Ya
ATR000006,3671012904920006,Ruko,HGB,79966/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,215.1,242.7,40950000,6030000,8808345000,1463481000,10271826000,Ya
ATR000007,3171015211010007,Tanah,SHM,53321/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,75.8,0.0,56770000,5860000,4303166000,0,4303166000,Ya
ATR000008,3674013005710008,Gudang,SHM,87305/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,382.6,486.9,13110000,3770000,5015886000,1835613000,6851499000,Ya
ATR000009,3172016002870009,Rumah,HGB,26748/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,292.6,249.3,15960000,4490000,4669896000,1119357000,5789253000,Ya
ATR000010,3271016610890010,Rumah,HGB,76635/Pluit,DKI Jakarta,Jakarta Utara,Pluit,Pluit,369.2,261.0,28320000,5000000,10455744000,1305000000,11760744000,Ya
ATR000011,3275016305970011,Ruko,HGB,77591/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,245.9,159.3,51340000,6500000,12624506000,1035450000,13659956000,Ya
ATR000012,3172010612990012,Rumah,SHM,48519/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,364.2,356.3,50700000,5260000,18464940000,1874138000,20339078000,Ya
ATR000013,3174013110970013,Tanah,HGB,89743/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,75.4,0.0,7580000,3480000,571532000,0,571532000,Ya
ATR000014,3671016412960014,Ruko,SHM,15358/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,341.8,268.5,7940000,3650000,2713892000,980025000,3693917000,Ya
ATR000015,3671012605910015,Tanah,SHM,14577/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,332.7,0.0,24430000,6300000,8127861000,0,8127861000,Ya
ATR000016,3674011208740016,Tanah,HGB,43768/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,127.6,0.0,7240000,3940000,923824000,0,923824000,Ya
ATR000017,3271010101840017,Rumah,SHM,92680/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,307.9,343.9,6980000,3450000,2149142000,1186455000,3335597000,Ya
ATR000018,3172011502850018,Ruko,HGB,41983/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,353.5,353.0,23730000,4520000,8388555000,1595560000,9984115000,Ya
ATR000019,3174012110980019,Ruko,SHM,85200/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,170.6,184.9,8330000,4019999,1421098000,743298000,2164396000,Ya
ATR000020,3674015810770020,Ruko,HGB,23714/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,100.7,107.8,48520000,6110000,4885964000,658658000,5544622000,Ya
ATR000021,3671012107980021,Tanah,HGB,85397/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,227.9,0.0,12080000,3910000,2753032000,0,2753032000,Ya
ATR000022,3171011102830022,Rumah,SHM,28802/Margahayu,Jawa Barat,Bekasi,Bekasi Timur,Margahayu,96.7,50.8,8330000,3400000,805511000,172720000,978231000,Ya
ATR000023,3175015609750023,Tanah,SHM,55895/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,368.6,0.0,50860000,6330000,18746996000,0,18746996000,Ya
ATR000024,3174015202890024,Tanah,HGB,95818/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,137.8,0.0,21830000,4870000,3008174000,0,3008174000,Ya
ATR000025,3671010906920025,Rumah,SHM,23574/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,376.1,431.2,18720000,5000000,7040592000,2156000000,9196592000,Ya
ATR000026,3671011103970026,Gudang,SHM,35731/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,123.4,149.8,30350000,6010000,3745190000,900298000,4645488000,Ya
ATR000027,3276017107930027,Ruko,SHM,85736/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,168.1,98.8,8270000,3720000,1390187000,367536000,1757723000,Ya
ATR000028,3671011204840028,Tanah,HGB,18264/Kelapa Gading Barat,DKI Jakarta,Jakarta Utara,Kelapa Gading,Kelapa Gading Barat,352.6,0.0,21300000,5220000,7510380000,0,7510380000,Ya
ATR000029,3671010311920029,Rumah,HGB,91454/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,135.5,80.7,17120000,5100000,2319760000,411570000,2731330000,Ya
ATR000030,3671016012760030,Tanah,SHM,28287/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,236.4,0.0,7960000,3260000,1881744000,0,1881744000,Tidak
ATR000031,3174015008940031,Ruko,HGB,99047/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,387.2,271.6,21980000,4700000,8510656000,1276520000,9787176000,Ya
ATR000032,3276015701910032,Gudang,HGB,66387/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,72.5,71.6,10010000,3290000,725725000,235564000,961289000,Ya
ATR000033,3175012912660033,Gudang,HGB,31668/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,368.8,255.1,40210000,5980000,14829448000,1525498000,16354946000,Tidak
ATR000034,3671014110870034,Ruko,HGB,19310/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,142.3,147.7,12940000,3690000,1841362000,545013000,2386375000,Ya
ATR000035,3671015108920035,Ruko,HGB,12188/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,185.0,186.1,12480000,4040000,2308800000,751844000,3060644000,Ya
ATR000036,3671014712870036,Ruko,HGB,82104/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,344.0,260.3,10870000,3450000,3739280000,898035000,4637315000,Ya
ATR000037,3175012901750037,Rumah,HGB,48036/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,290.4,149.1,12040000,3670000,3496416000,547197000,4043613000,Ya
ATR000038,3671016303970038,Tanah,SHM,76916/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,119.3,0.0,12690000,3860000,1513917000,0,1513917000,Ya
ATR000039,3671010304670039,Rumah,SHM,84511/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,106.8,82.5,10610000,4510000,1133148000,372075000,1505223000,Ya
ATR000040,3671015003850040,Ruko,HGB,11117/Cakung Barat,DKI Jakarta,Jakarta Timur,Cakung,Cakung Barat,147.7,151.8,13140000,4070000,1940778000,617826000,2558604000,Ya
ATR000041,3276015003770041,Rumah,HGB,41766/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,142.2,81.7,20140000,5040000,2863908000,411768000,3275676000,Ya
ATR000042,3271010505890042,Tanah,SHM,71855/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,175.3,0.0,11460000,4270000,2008938000,0,2008938000,Ya
ATR000043,3271015910980043,Rumah,HGB,83300/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,361.6,406.4,57340000,5690000,20734144000,2312416000,23046560000,Ya
ATR000044,3271014201950044,Ruko,SHM,39158/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,365.5,360.1,25580000,4840000,9349490000,1742884000,11092374000,Ya
ATR000045,3173012502730045,Ruko,SHM,20181/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,61.7,38.8,22320000,5290000,1377144000,205252000,1582396000,Ya
ATR000046,3275014502860046,Rumah,SHM,54711/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,136.3,145.8,6450000,3220000,879135000,469476000,1348611000,Ya
ATR000047,3172010211710047,Ruko,HGB,69286/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,280.9,331.3,8900000,3670000,2500010000,1215871000,3715881000,Ya
ATR000048,3671016211990048,Tanah,SHM,97148/Paledang,Jawa Barat,Bogor,Bogor Tengah,Paledang,185.0,0.0,6510000,3140000,1204350000,0,1204350000,Tidak
ATR000049,3172016512950049,Ruko,SHM,14373/Bojong Jaya,Banten,Tangerang,Karawaci,Bojong Jaya,193.7,235.1,9350000,3920000,1811095000,921592000,2732687000,Ya
ATR000050,3172015801940050,Tanah,SHM,79555/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,256.1,0.0,21950000,4540000,5621395000,0,5621395000,Ya
ATR000051,3671011808920051,Rumah,HGB,45365/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,155.5,80.8,8870000,3250000,1379285000,262600000,1641885000,Tidak
ATR000052,3173016507900052,Rumah,SHM,41224/Gunung,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Gunung,384.3,473.4,43250000,5130000,16620975000,2428542000,19049517000,Ya
ATR000053,3671014712890053,Tanah,SHM,59554/Tebet Timur,DKI Jakarta,Jakarta Selatan,Tebet,Tebet Timur,205.6,0.0,31920000,6260000,6562752000,0,6562752000,Ya
ATR000054,3674016707000054,Rumah,HGB,24518/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,160.1,129.4,9400000,3400000,1504940000,439960000,1944900000,Ya
ATR000055,3674015806980055,Rumah,HGB,96820/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,249.3,311.4,19060000,4590000,4751658000,1429326000,6180984000,Ya
ATR000056,3671014508730056,Rumah,HGB,70992/Kramat Jati,DKI Jakarta,Jakarta Timur,Kramat Jati,Kramat Jati,269.1,347.7,16059999,4520000,4321746000,1571604000,5893350000,Ya
ATR000057,3275010510960057,Tanah,HGB,46936/Duren Tiga,DKI Jakarta,Jakarta Selatan,Pancoran,Duren Tiga,311.9,0.0,31770000,5830000,9909063000,0,9909063000,Ya
ATR000058,3671012101860058,Ruko,HGB,43916/Poris Plawad,Banten,Tangerang,Cipondoh,Poris Plawad,159.8,183.4,8199999,3770000,1310360000,691418000,2001778000,Ya
ATR000059,3671016210710059,Tanah,HGB,51465/Bintara,Jawa Barat,Bekasi,Bekasi Barat,Bintara,233.9,0.0,9000000,4139999,2105100000,0,2105100000,Ya
ATR000060,3674015309780060,Rumah,SHM,56588/Sukabumi Selatan,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Sukabumi Selatan,298.7,339.5,24570000,4760000,7339059000,1616020000,8955079000,Ya
ATR000061,3171011302650061,Ruko,HGB,98856/Mekarjaya,Jawa Barat,Depok,Sukmajaya,Mekarjaya,92.0,88.6,7320000,3560000,673440000,315416000,988856000,Ya
ATR000062,3175014405000062,Rumah,HGB,28284/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,157.4,153.1,10310000,3440000,1622794000,526664000,2149458000,Ya
ATR000063,3671011309840063,Ruko,SHM,24745/Kemiri Muka,Jawa Barat,Depok,Beji,Kemiri Muka,182.5,109.8,10070000,4110000,1837775000,451278000,2289053000,Ya
ATR000064,3173015312970064,Rumah,SHM,23503/Rawa Buntu,Jawa Barat,Tangerang Selatan,Serpong,Rawa Buntu,271.8,154.5,10390000,4040000,2824002000,624180000,3448182000,Ya
ATR000065,3173015204880065,Rumah,HGB,72432/Menteng,DKI Jakarta,Jakarta Pusat,Menteng,Menteng,276.7,299.1,62850000,6530000,17390595000,1953123000,19343718000,Ya
