account_id,NIK,account_number,bank_name,account_type,account_status,opened_date,average_balance_6m,average_monthly_credit,average_monthly_debit,transaction_frequency_monthly,overdraft_count_6m,current_balance
ACC000001,3276010601750001,6956650690,Bank BCA,Giro,Aktif,2023-08-14,10342365,2196060,2092204,148,0,13581790
ACC000002,3276010601750001,6225587025,BNI,Giro,Aktif,2020-05-20,19800614,2212722,1737140,76,0,9133735
ACC000003,3172010301920002,4729122289,Bank BNI,Tabungan,Aktif,2025-03-21,4014256,1124770,1040039,122,0,1718267
ACC000004,3671010604800003,4611355005,Bank BCA,Giro,Dormant,2021-10-23,14489012,1394768,1222864,22,1,3156322
ACC000005,3173016001890004,8727347064,Bank CIMB Niaga,Giro,Dormant,2025-08-11,1895269,1172430,1132201,157,0,317322
ACC000006,3173016001890004,8756052042,Bank Mandiri,Tabungan,Aktif,2018-03-01,8551321,1066368,956399,154,0,6110665
ACC000007,3275011505030005,8698981487,Bank Mandiri,Giro,Aktif,2023-10-08,10845679,717577,581630,83,0,15753449
ACC000008,3671012904920006,6726922051,BNI,Giro,Aktif,2020-10-26,40816074,1577663,1139914,94,0,31394462
ACC000009,3171015211010007,4455774248,BPR Mitra Usaha,Tabungan,Aktif,2023-08-18,6956555,1668750,1544124,169,1,7175297
ACC000010,3171015211010007,1685064152,Bank Permata,Tabungan,Dormant,2022-10-10,22284012,1107019,819430,39,0,5371849
ACC000011,3674013005710008,7835691965,Bank CIMB Niaga,Giro,Aktif,2017-07-15,13033497,2994080,2766627,98,0,21487836
ACC000012,3172016002870009,1432516533,Bank OCBC NISP,Tabungan,Aktif,2015-04-01,2352073,1407740,1372057,87,0,1858341
ACC000013,3271016610890010,7542927175,Bank OCBC NISP,Giro,Aktif,2018-09-27,8781566,446081,338479,129,0,6936981
ACC000014,3275016305970011,3925665950,Bank Danamon,Tabungan,Aktif,2015-10-03,5810581,1134612,1050783,44,0,5757120
ACC000015,3172010612990012,6671721218,Bank Permata,Giro,Aktif,2022-07-29,11244169,3384124,3259696,120,0,4561858
ACC000016,3174013110970013,9157802492,Bank Danamon,Tabungan,Aktif,2024-02-09,19152421,1617312,1312638,135,0,15944262
ACC000017,3671016412960014,7592611838,Bank Mandiri,Tabungan,Aktif,2021-03-04,30436142,3699126,2975860,55,0,52729265
ACC000018,3671012605910015,1764066701,Bank BRI,Tabungan,Aktif,2016-08-20,11534435,601871,485498,64,0,18149280
ACC000019,3671012605910015,6866533970,Bank Panin,Tabungan,Aktif,2024-01-24,6528571,682596,604723,27,0,7502500
ACC000020,3674011208740016,1259224007,Bank CIMB Niaga,Tabungan,Aktif,2025-06-20,2546975,1250376,1189012,73,0,2749928
ACC000021,3271010101840017,4004476994,BPR Mitra Usaha,Tabungan,Aktif,2025-07-17,3991595,1186626,1117633,91,0,6878226
ACC000022,3172011502850018,5372809924,Bank OCBC NISP,Tabungan,Aktif,2016-01-02,18624633,2471300,2102330,54,0,22916566
ACC000023,3172011502850018,1391407327,Bank Danamon,Tabungan,Aktif,2024-06-19,18801149,1635882,1357696,86,1,33786312
ACC000024,3174012110980019,7593154716,Bank BRI,Tabungan,Aktif,2020-09-25,7526152,1080606,915752,133,0,3366225
ACC000025,3674015810770020,5244695293,Bank OCBC NISP,Tabungan,Dormant,2016-04-23,8109247,726309,602165,158,1,597749
ACC000026,3674015810770020,8291507250,Bank Panin,Tabungan,Aktif,2024-09-10,6061158,715062,598684,55,1,3494818
ACC000027,3671012107980021,7061586863,Bank CIMB Niaga,Tabungan,Aktif,2022-05-22,11710822,771815,638075,188,1,9603190
ACC000028,3171011102830022,9384274763,Bank Panin,Tabungan,Aktif,2018-04-04,8888324,1409195,1264393,75,0,10412344
ACC000029,3175015609750023,1104310177,Bank BRI,Giro,Dormant,2023-10-08,11638176,506039,378266,54,0,699733
ACC000030,3174015202890024,5181474054,Bank BNI,Giro,Aktif,2022-09-12,13958479,1199517,1010439,174,0,14396196
ACC000031,3671010906920025,8176965098,Bank Panin,Tabungan,Aktif,2020-03-06,2805333,387712,333586,98,0,3303512
ACC000032,3671011103970026,8813065651,Bank Permata,Giro,Dormant,2015-07-06,5503460,831724,773204,40,0,406343
ACC000033,3276017107930027,5751627413,Bank OCBC NISP,Tabungan,Dormant,2018-11-24,161959428,9219327,6872523,79,0,19157373
ACC000034,3671011204840028,9872216840,Bank BCA,Giro,Aktif,2023-03-19,8546525,1765296,1590375,89,3,7055593
ACC000035,3671011204840028,1266366578,Bank BRI,Tabungan,Aktif,2024-01-25,6806172,1685886,1612300,86,0,6703881
ACC000036,3671010311920029,5105559707,BNI,Giro,Aktif,2021-01-09,54311006,3068831,2457964,169,0,53245717
ACC000037,3671016012760030,7293891893,BNI,Tabungan,Aktif,2015-01-11,11035460,1218652,1068510,84,0,5855850
ACC000038,3174015008940031,7759396575,Bank BCA,Tabungan,Aktif,2016-08-13,11831269,753986,609158,90,2,5959152
ACC000039,3276015701910032,5128737923,Bank BCA,Tabungan,Aktif,2023-10-03,24776114,1545382,1188837,80,0,30046668
ACC000040,3175012912660033,8348759733,Bank BRI,Tabungan,Aktif,2019-10-11,9360748,859533,669791,63,0,4830334
ACC000041,3175012912660033,1722203277,BNI,Tabungan,Aktif,2017-03-27,26565572,1052442,769646,102,0,30677214
ACC000042,3671014110870034,2910754509,Bank Permata,Giro,Aktif,2023-12-10,9295913,1823399,1619864,43,0,14790510
ACC000043,3671015108920035,5170973485,Bank Danamon,Tabungan,Aktif,2020-03-11,6420782,1199012,1115881,161,0,5164330
ACC000044,3671015108920035,5358972858,Bank Panin,Tabungan,Aktif,2017-05-26,9125043,1269236,1092030,119,0,4707088
ACC000045,3671014712870036,5137114318,Bank BRI,Tabungan,Aktif,2018-08-18,9388089,2083127,1937208,116,0,7967409
ACC000046,3671014712870036,3861045644,Bank Permata,Tabungan,Aktif,2019-03-14,33956428,2330746,1682963,142,0,33762838
