dhn_id,NIK,status_dhn,alasan,tanggal_input
DHN000001,3276010601750001,Tidak,,2025-07-23
DHN000002,3172010301920002,Tidak,,2026-05-10
DHN000003,3671010604800003,Tidak,,2023-07-27
DHN000004,3173016001890004,Tidak,,2025-06-10
DHN000005,3275011505030005,Tidak,,2023-10-09
DHN000006,3671012904920006,Tidak,,2025-07-31
DHN000007,3171015211010007,Tidak,,2025-03-27
DHN000008,3674013005710008,Tidak,,2023-11-04
DHN000009,3172016002870009,Tidak,,2024-07-13
DHN000010,3271016610890010,Tidak,,2024-05-16
DHN000011,3275016305970011,Tidak,,2026-03-24
DHN000012,3172010612990012,Tidak,,2025-04-18
DHN000013,3174013110970013,Tidak,,2023-04-13
DHN000014,3671016412960014,Tidak,,2025-04-01
DHN000015,3671012605910015,Tidak,,2024-03-28
DHN000016,3674011208740016,Tidak,,2023-03-21
DHN000017,3271010101840017,Tidak,,2023-03-21
DHN000018,3172011502850018,Tidak,,2025-08-11
DHN000019,3174012110980019,Tidak,,2026-04-22
DHN000020,3674015810770020,Ya,Laporan pihak ketiga terkait sengketa usaha,2023-12-21
DHN000021,3671012107980021,Tidak,,2024-03-01
DHN000022,3171011102830022,Tidak,,2024-03-18
DHN000023,3175015609750023,Tidak,,2026-08-02
DHN000024,3174015202890024,Tidak,,2026-02-11
DHN000025,3671010906920025,Tidak,,2026-04-06
DHN000026,3671011103970026,Tidak,,2023-06-06
DHN000027,3276017107930027,Tidak,,2025-08-28
DHN000028,3671011204840028,Tidak,,2025-10-21
DHN000029,3671010311920029,Tidak,,2025-10-01
DHN000030,3671016012760030,Tidak,,2024-02-23
DHN000031,3174015008940031,Tidak,,2026-07-08
DHN000032,3276015701910032,Tidak,,2025-01-17
DHN000033,3175012912660033,Tidak,,2025-05-07
DHN000034,3671014110870034,Tidak,,2024-03-28
DHN000035,3671015108920035,Tidak,,2026-06-28
DHN000036,3671014712870036,Tidak,,2024-01-15
DHN000037,3175012901750037,Tidak,,2023-06-02
DHN000038,3671016303970038,Tidak,,2023-08-11
DHN000039,3671010304670039,Tidak,,2025-10-28
DHN000040,3671015003850040,Tidak,,2025-07-18
DHN000041,3276015003770041,Tidak,,2026-02-08
DHN000042,3271010505890042,Tidak,,2023-07-31
DHN000043,3271015910980043,Tidak,,2025-02-25
DHN000044,3271014201950044,Tidak,,2023-10-18
DHN000045,3173012502730045,Tidak,,2025-02-23
DHN000046,3275014502860046,Tidak,,2026-08-09
DHN000047,3172010211710047,Tidak,,2026-03-20
DHN000048,3671016211990048,Tidak,,2025-12-13
DHN000049,3172016512950049,Tidak,,2025-09-04
DHN000050,3172015801940050,Tidak,,2025-06-15
DHN000051,3671011808920051,Tidak,,2024-03-26
DHN000052,3173016507900052,Tidak,,2024-11-03
DHN000053,3671014712890053,Tidak,,2023-08-28
DHN000054,3674016707000054,Tidak,,2023-04-09
DHN000055,3674015806980055,Tidak,,2024-12-24
DHN000056,3671014508730056,Tidak,,2026-07-29
DHN000057,3275010510960057,Tidak,,2026-07-03
DHN000058,3671012101860058,Tidak,,2025-08-04
DHN000059,3671016210710059,Tidak,,2024-03-10
DHN000060,3674015309780060,Tidak,,2024-09-04
DHN000061,3171011302650061,Tidak,,2024-09-06
DHN000062,3175014405000062,Tidak,,2025-04-23
DHN000063,3671011309840063,Tidak,,2025-12-07
DHN000064,3173015312970064,Tidak,,2024-12-03
DHN000065,3173015204880065,Tidak,,2023-01-05
DHN000066,3671016406030066,Tidak,,2023-03-17
DHN000067,3271015503700067,Tidak,,2026-06-24
DHN000068,3674014302990068,Tidak,,2024-08-25
DHN000069,3671010311960069,Tidak,,2025-07-07
DHN000070,3173016202970070,Tidak,,2026-06-16
DHN000071,3671015802680071,Tidak,,2024-06-18
DHN000072,3674016506800072,Tidak,,2025-07-24
DHN000073,3275015104790073,Tidak,,2026-04-28
DHN000074,3172010107850074,Tidak,,2023-12-02
DHN000075,3674015703790075,Tidak,,2026-04-13
DHN000076,3275010902990076,Tidak,,2024-04-24
DHN000077,3276015512750077,Tidak,,2026-08-18
DHN000078,3171014809850078,Tidak,,2025-03-27
DHN000079,3671013008930079,Tidak,,2023-07-23
DHN000080,3271011405960080,Tidak,,2025-03-05
DHN000081,3671016910740081,Tidak,,2025-04-22
DHN000082,3172015405810082,Tidak,,2023-11-12
DHN000083,3674014603010083,Tidak,,2026-06-02
DHN000084,3175016601890084,Tidak,,2023-03-25
DHN000085,3671011405920085,Tidak,,2026-01-20
DHN000086,3674011803700086,Tidak,,2025-06-30
DHN000087,3671012605020087,Tidak,,2026-03-20
DHN000088,3175010406890088,Tidak,,2023-09-29
DHN000089,3171012004000089,Tidak,,2026-03-12
DHN000090,3172013003760090,Tidak,,2025-03-17
DHN000091,3171011004980091,Tidak,,2026-01-10
DHN000092,3671015608970092,Tidak,,2025-02-23
DHN000093,3174015406790093,Tidak,,2024-04-20
DHN000094,3275017007000094,Tidak,,2026-08-18
DHN000095,3674016309970095,Tidak,,2025-05-24
DHN000096,3173010205690096,Tidak,,2025-09-30
DHN000097,3275016611770097,Tidak,,2025-07-16
DHN000098,3271012602700098,Tidak,,2025-05-25
DHN000099,3671013003800099,Tidak,,2024-04-17
DHN000100,3173010111830100,Tidak,,2026-06-30
DHN000101,3671012703950101,Tidak,,2025-02-07
DHN000102,3671016606800102,Tidak,,2025-02-28
DHN000103,3671010605650103,Tidak,,2024-04-16
DHN000104,3171016101820104,Tidak,,2025-02-01
DHN000105,3175017010900105,Tidak,,2023-09-20
DHN000106,3271015412680106,Tidak,,2025-08-31
DHN000107,3175015412990107,Tidak,,2024-05-03
DHN000108,3276011310720108,Tidak,,2025-04-05
DHN000109,3276016309840109,Tidak,,2023-01-24
DHN000110,3275012207670110,Tidak,,2023-02-07
DHN000111,3671014406790111,Tidak,,2025-07-16
DHN000112,3671011709840112,Tidak,,2025-01-09
DHN000113,3172014706950113,Tidak,,2025-01-23
DHN000114,3671015410700114,Tidak,,2023-01-23
DHN000115,3175014911780115,Tidak,,2024-06-09
DHN000116,3671015109940116,Tidak,,2023-01-19
DHN000117,3276014412840117,Tidak,,2026-02-18
DHN000118,3674014807990118,Tidak,,2024-07-18
DHN000119,3271015611890119,Tidak,,2023-08-22
DHN000120,3171012008010120,Tidak,,2024-02-05
DHN000121,3174015904790121,Tidak,,2025-11-11
DHN000122,3174014811650122,Tidak,,2024-04-18
DHN000123,3173017008930123,Tidak,,2025-10-22
DHN000124,3172012910800124,Tidak,,2026-03-20
DHN000125,3173017009810125,Tidak,,2023-04-15
DHN000126,3271016906010126,Tidak,,2023-07-20
DHN000127,3171011811660127,Tidak,,2023-05-16
DHN000128,3175014404770128,Tidak,,2025-07-29
DHN000129,3275015308970129,Tidak,,2024-10-11
DHN000130,3674015301920130,Tidak,,2023-11-02
DHN000131,3173015904810131,Tidak,,2026-01-19
DHN000132,3671016202920132,Tidak,,2026-08-15
DHN000133,3671015303760133,Tidak,,2023-09-26
DHN000134,3172016310770134,Tidak,,2023-01-10
DHN000135,3271013010960135,Tidak,,2026-08-08
DHN000136,3171015307000136,Tidak,,2025-08-18
DHN000137,3674013107880137,Tidak,,2026-05-08
DHN000138,3671014410700138,Tidak,,2023-01-25
DHN000139,3276015007800139,Tidak,,2025-10-15
DHN000140,3172011801910140,Tidak,,2025-09-16
DHN000141,3275010505870141,Ya,Laporan pihak ketiga terkait sengketa usaha,2025-10-26
DHN000142,3674010111850142,Tidak,,2026-01-04
DHN000143,3275013112760143,Tidak,,2025-04-03
DHN000144,3271010807730144,Tidak,,2023-09-11
DHN000145,3171014303910145,Tidak,,2025-11-23
DHN000146,3271010804990146,Tidak,,2023-12-23
DHN000147,3271010801020147,Tidak,,2025-02-04
DHN000148,3275011301670148,Tidak,,2025-04-28
DHN000149,3276015808820149,Tidak,,2023-05-21
DHN000150,3271016403950150,Ya,Cek/giro kosong berulang,2025-05-23
DHN000151,3172012003930151,Tidak,,2024-06-18
DHN000152,3276017005830152,Tidak,,2023-03-24
DHN000153,3271014407890153,Tidak,,2023-12-17
DHN000154,3276011812950154,Tidak,,2026-02-05
DHN000155,3175016111660155,Tidak,,2026-08-05
DHN000156,3271012802710156,Tidak,,2023-01-08
DHN000157,3671010607690157,Ya,Terlibat kasus fraud dokumen,2026-02-22
DHN000158,3671016606990158,Tidak,,2023-02-23
DHN000159,3276010708980159,Tidak,,2023-10-24
DHN000160,3671016903770160,Tidak,,2023-12-16
DHN000161,3671015511720161,Tidak,,2024-01-03
DHN000162,3174011209760162,Tidak,,2024-09-08
DHN000163,3671015510670163,Tidak,,2024-08-25
DHN000164,3171015406860164,Tidak,,2025-03-05
DHN000165,3671012807880165,Tidak,,2025-06-06
DHN000166,3671012003700166,Tidak,,2023-06-20
DHN000167,3172016809850167,Tidak,,2025-04-26
DHN000168,3671011104890168,Tidak,,2024-10-29
DHN000169,3674014711810169,Tidak,,2023-07-09
DHN000170,3174012105780170,Tidak,,2025-08-26
DHN000171,3174015206660171,Tidak,,2025-01-06
DHN000172,3671016412750172,Tidak,,2026-02-24
DHN000173,3671012711900173,Tidak,,2025-06-05
DHN000174,3671013001930174,Tidak,,2025-03-26
DHN000175,3276014411980175,Tidak,,2025-04-18
DHN000176,3173016311750176,Tidak,,2024-01-11
DHN000177,3671010704680177,Tidak,,2025-04-06
DHN000178,3671010307980178,Tidak,,2024-12-27
DHN000179,3674016711850179,Tidak,,2025-10-16
DHN000180,3175012710890180,Tidak,,2023-04-18
DHN000181,3671015807760181,Tidak,,2024-09-03
DHN000182,3671010307880182,Tidak,,2024-03-23
DHN000183,3671012809810183,Tidak,,2026-01-20
DHN000184,3671011201890184,Tidak,,2025-12-21
DHN000185,3671012707010185,Tidak,,2024-02-16
DHN000186,3174011203690186,Ya,Terlibat kasus fraud dokumen,2026-03-15
DHN000187,3671012005900187,Tidak,,2023-12-26
DHN000188,3671015701730188,Tidak,,2024-02-09
DHN000189,3671012103820189,Tidak,,2025-12-05
DHN000190,3671011309990190,Tidak,,2024-06-26
DHN000191,3671014511680191,Tidak,,2023-02-21
DHN000192,3174016703650192,Tidak,,2026-06-29
DHN000193,3671016008690193,Tidak,,2026-03-29
DHN000194,3172016211750194,Tidak,,2023-08-31
DHN000195,3271012211830195,Tidak,,2024-01-19
DHN000196,3175012104650196,Tidak,,2025-03-20
DHN000197,3671016806860197,Tidak,,2026-05-11
DHN000198,3275015804900198,Tidak,,2023-06-09
DHN000199,3671016609010199,Tidak,,2025-07-21
DHN000200,3173016810910200,Tidak,,2025-04-09
DHN000201,3175011806720201,Tidak,,2024-06-05
DHN000202,3671013012840202,Tidak,,2026-03-25
DHN000203,3174011704020203,Tidak,,2026-02-16
DHN000204,3671016304790204,Tidak,,2025-01-18
DHN000205,3172012910720205,Tidak,,2025-07-06
DHN000206,3674012404660206,Tidak,,2025-06-29
DHN000207,3175011608790207,Tidak,,2024-08-30
DHN000208,3276010307010208,Tidak,,2023-12-10
DHN000209,3671010112870209,Tidak,,2025-06-28
DHN000210,3171011102790210,Tidak,,2024-03-05
DHN000211,3674014811960211,Tidak,,2024-10-07
DHN000212,3276014901000212,Tidak,,2026-03-09
DHN000213,3173014507890213,Tidak,,2026-02-06
DHN000214,3275015710990214,Tidak,,2024-06-20
