dukcapil_id,NIK,nama,tempat_lahir,tanggal_lahir,jenis_kelamin,golongan_darah,alamat,rt_rw,kelurahan_desa,kecamatan,kota_kabupaten,provinsi,agama,status_perkawinan,pekerjaan,kewarganegaraan,berlaku_hingga
DKC000001,3276010601750001,Budi Panjaitan,Depok,1975-01-06,Laki-Laki,B,Jl. Panjaitan No. 27,011/009,Sukajadi,Sukmajaya,Depok,Jawa Barat,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000002,3172010301920002,Andi Hidayat,Jakarta Utara,1992-01-03,Laki-Laki,A,Jl. Rahman No. 51,012/009,Cipete,Kramat Jati,Jakarta Utara,DKI Jakarta,HINDU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000003,3671010604800003,Doni Pratama,Tangerang,1980-04-06,Laki-Laki,AB,Jl. Setiawan No. 56,006/002,Sukajadi,Bekasi Timur,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000004,3173016001890004,Nina Firmansyah,Jakarta Barat,1989-01-20,Perempuan,A,Jl. Wibowo No. 21,009/005,Rawa Bunga,Sukmajaya,Jakarta Barat,DKI Jakarta,KRISTEN,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000005,3275011505030005,Sutrisno Nugroho,Bekasi,2003-05-15,Laki-Laki,B,Jl. Saputra No. 98,005/008,Rawa Bunga,Kramat Jati,Bekasi,Jawa Barat,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000006,3671012904920006,Sutrisno Firmansyah,Tangerang,1992-04-29,Laki-Laki,B,Jl. Rahman No. 63,003/008,Cipete,Cengkareng,Tangerang,Banten,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000007,3171015211010007,Kartika Situmorang,Jakarta Pusat,2001-11-12,Perempuan,A,Jl. Gunawan No. 103,005/002,Kebon Baru,Sukmajaya,Jakarta Pusat,DKI Jakarta,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000008,3674013005710008,Gunawan Handoko,Tangerang Selatan,1971-05-30,Laki-Laki,AB,Jl. Setiawan No. 64,012/009,Duren Sawit,Serpong,Tangerang Selatan,Jawa Barat,BUDDHA,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000009,3172016002870009,Maya Nugroho,Jakarta Utara,1987-02-20,Perempuan,A,Jl. Situmorang No. 13,002/003,Cempaka Putih,Serpong,Jakarta Utara,DKI Jakarta,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000010,3271016610890010,Putri Simanjuntak,Bogor,1989-10-26,Perempuan,A,Jl. Lubis No. 30,011/009,Duren Sawit,Serpong,Bogor,Jawa Barat,KATOLIK,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000011,3275016305970011,Ika Pratama,Bekasi,1997-05-23,Perempuan,AB,Jl. Kusuma No. 46,009/002,Duren Sawit,Serpong,Bekasi,Jawa Barat,BUDDHA,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000012,3172010612990012,Rudi Situmorang,Jakarta Utara,1999-12-06,Laki-Laki,A,Jl. Simanjuntak No. 83,008/001,Sukajadi,Cengkareng,Jakarta Utara,DKI Jakarta,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000013,3174013110970013,Fajar Siregar,Jakarta Selatan,1997-10-31,Laki-Laki,O,Jl. Kurniawan No. 137,003/003,Bintaro,Sukmajaya,Jakarta Selatan,DKI Jakarta,KRISTEN,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000014,3671016412960014,Yuni Rahman,Tangerang,1996-12-24,Perempuan,AB,Jl. Wibowo No. 96,008/009,Bintaro,Tebet,Tangerang,Banten,KRISTEN,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000015,3671012605910015,Eko Santoso,Tangerang,1991-05-26,Laki-Laki,B,Jl. Santoso No. 19,012/001,Kebon Baru,Tebet,Tangerang,Banten,ISLAM,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000016,3674011208740016,Dimas Nugroho,Tangerang Selatan,1974-08-12,Laki-Laki,B,Jl. Panjaitan No. 147,010/008,Kebon Baru,Bekasi Timur,Tangerang Selatan,Jawa Barat,HINDU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000017,3271010101840017,Rizky Lubis,Bogor,1984-01-01,Laki-Laki,O,Jl. Suryadi No. 14,011/002,Sukamaju,Bekasi Timur,Bogor,Jawa Barat,KONGHUCU,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000018,3172011502850018,Fajar Hidayat,Jakarta Utara,1985-02-15,Laki-Laki,B,Jl. Permana No. 47,005/008,Kebon Baru,Tebet,Jakarta Utara,DKI Jakarta,HINDU,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000019,3174012110980019,Gunawan Rahman,Jakarta Selatan,1998-10-21,Laki-Laki,B,Jl. Pratama No. 105,008/008,Kebon Baru,Bekasi Timur,Jakarta Selatan,DKI Jakarta,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000020,3674015810770020,Siti Wibowo,Tangerang Selatan,1977-10-18,Perempuan,O,Jl. Hutapea No. 143,011/008,Cempaka Putih,Kramat Jati,Tangerang Selatan,Jawa Barat,KATOLIK,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000021,3671012107980021,Taufik Panjaitan,Tangerang,1998-07-21,Laki-Laki,AB,Jl. Wijaya No. 13,010/008,Cempaka Putih,Tebet,Tangerang,Banten,BUDDHA,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000022,3171011102830022,Andi Simanjuntak,Jakarta Pusat,1983-02-11,Laki-Laki,A,Jl. Siregar No. 64,010/010,Sukamaju,Sukmajaya,Jakarta Pusat,DKI Jakarta,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000023,3175015609750023,Suryani Firmansyah,Jakarta Timur,1975-09-16,Perempuan,AB,Jl. Wibowo No. 34,011/005,Bintaro,Cengkareng,Jakarta Timur,DKI Jakarta,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000024,3174015202890024,Nina Siregar,Jakarta Selatan,1989-02-12,Perempuan,B,Jl. Kusuma No. 68,003/006,Sukajadi,Kramat Jati,Jakarta Selatan,DKI Jakarta,KATOLIK,Cerai Hidup,Wiraswasta,WNI,SEUMUR HIDUP
DKC000025,3671010906920025,Hadi Rahman,Tangerang,1992-06-09,Laki-Laki,A,Jl. Lubis No. 142,005/002,Cempaka Putih,Cengkareng,Tangerang,Banten,ISLAM,Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000026,3671011103970026,Wahyu Susanto,Tangerang,1997-03-11,Laki-Laki,AB,Jl. Hidayat No. 68,009/008,Duren Sawit,Tebet,Tangerang,Banten,ISLAM,Cerai Mati,Wiraswasta,WNI,SEUMUR HIDUP
DKC000027,3276017107930027,Dewi Santoso,Depok,1993-07-31,Perempuan,AB,Jl. Pratama No. 114,009/007,Sukamaju,Tebet,Depok,Jawa Barat,ISLAM,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
DKC000028,3671011204840028,Fauzi Halim,Tangerang,1984-04-12,Laki-Laki,B,Jl. Wijaya No. 79,006/001,Rawa Bunga,Kramat Jati,Tangerang,Banten,KONGHUCU,Belum Menikah,Wiraswasta,WNI,SEUMUR HIDUP
