laporan_id,NIK,year,revenue,net_profit,total_asset,total_liability,operating_cashflow
FIN000001,3276010601750001,2024,29666491,3405584,48148218,27015813,3039455
FIN000002,3276010601750001,2025,32065651,3318494,37084511,18787312,4499938
FIN000003,3172010301920002,2024,22347316,2907631,27256315,17484128,3572130
FIN000004,3172010301920002,2025,21695009,2602253,35323008,9380894,2863796
FIN000005,3671010604800003,2024,23914503,5615079,34076107,17322819,7404291
FIN000006,3671010604800003,2025,20384842,3670504,37104928,11862908,4126254
FIN000007,3173016001890004,2024,14154253,1445890,26952196,13692145,1184829
FIN000008,3173016001890004,2025,13621260,1322488,16955332,11385685,1403260
FIN000009,3275011505030005,2024,8112679,1549571,15109683,8408746,1311581
FIN000010,3275011505030005,2025,10353267,2045818,17096758,6675415,2032795
FIN000011,3671012904920006,2024,17971780,1275756,35152022,18879700,1372760
FIN000012,3671012904920006,2025,19815331,1592113,35685285,15709659,1346060
FIN000013,3171015211010007,2024,18215499,1669185,32175202,7001202,1720544
FIN000014,3171015211010007,2025,20743187,1882141,38651400,21601682,2517712
FIN000015,3674013005710008,2024,34398538,6437085,56547222,39185570,5409081
FIN000016,3674013005710008,2025,33415035,5549945,61696917,12972525,5939956
FIN000017,3172016002870009,2024,13286666,963766,22729468,6820403,902195
FIN000018,3172016002870009,2025,16465604,1364470,32447234,21315927,1799324
FIN000019,3271016610890010,2024,11149235,1471248,16173298,9525336,1191292
FIN000020,3271016610890010,2025,8319906,1043222,11677948,3789781,1248844
FIN000021,3275016305970011,2024,16731451,1929388,27194430,14312299,2655435
FIN000022,3275016305970011,2025,19058239,2141915,23366002,4734197,2110112
FIN000023,3172010612990012,2024,26492317,2935082,36601006,17239000,3494391
FIN000024,3172010612990012,2025,38934737,4131747,66970741,29641861,4618512
FIN000025,3174013110970013,2024,18067081,1231165,34941815,19194788,1671152
FIN000026,3174013110970013,2025,22400033,1846034,24644132,17043269,1588554
FIN000027,3671016412960014,2024,40212029,4007724,58206932,13778668,4323458
FIN000028,3671016412960014,2025,50262710,4614035,58754685,31445170,6396908
FIN000029,3671012605910015,2024,8102533,790221,11422612,5905302,686642
FIN000030,3671012605910015,2025,7635443,690566,14793851,8870309,667731
FIN000031,3674011208740016,2024,17856140,3777800,33451068,12673807,4520134
FIN000032,3674011208740016,2025,24149069,5193517,41762551,27607878,5696315
FIN000033,3271010101840017,2024,16185979,2014670,21141644,14568170,2278539
FIN000034,3271010101840017,2025,18256054,2354090,35626085,14394668,3081225
FIN000035,3172011502850018,2024,24205649,2532375,36993224,13052384,2865683
FIN000036,3172011502850018,2025,31258429,3273759,59658338,32933255,4242413
FIN000037,3174012110980019,2024,12507497,859424,18102923,9539342,964435
FIN000038,3174012110980019,2025,16310035,1321025,23168219,7011604,1217529
FIN000039,3674015810770020,2024,12183629,1501336,15735760,8361671,1755440
FIN000040,3674015810770020,2025,10864141,1332093,13209120,4040780,1443090
FIN000041,3671012107980021,2024,14015337,1644021,24868249,11123651,2129195
FIN000042,3671012107980021,2025,13918651,1827092,15375859,8324462,2347417
FIN000043,3171011102830022,2024,22912069,3137872,32829585,19439222,3441140
FIN000044,3171011102830022,2025,26361498,4315381,29108913,6884292,5215993
FIN000045,3175015609750023,2024,12156280,922481,14952113,8472484,900019
FIN000046,3175015609750023,2025,9915061,634859,18235169,8681780,586164
FIN000047,3174015202890024,2024,23682449,906292,45114192,12194088,907446
FIN000048,3174015202890024,2025,17210849,743323,31480282,11954112,831687
FIN000049,3671010906920025,2024,6778815,890783,10993957,4913085,751140
FIN000050,3671010906920025,2025,6675891,710382,8816953,4026688,989121
FIN000051,3671011103970026,2024,9227956,1150751,16881847,6873134,1148551
FIN000052,3671011103970026,2025,9998537,1200264,15670090,5211978,1246386
FIN000053,3276017107930027,2024,77593543,11341413,108606543,62439727,13508411
FIN000054,3276017107930027,2025,106562878,20395180,173614259,90118900,24942658
FIN000055,3671011204840028,2024,21127920,1467823,31312657,6481821,1917182
FIN000056,3671011204840028,2025,26124704,2193575,30152398,15606884,3019384
FIN000057,3671010311920029,2024,42443075,3797129,84166739,49733199,5055490
FIN000058,3671010311920029,2025,51412655,4804082,89721501,50762852,5483158
FIN000059,3671016012760030,2024,14785336,1211293,17066486,6989492,1114757
FIN000060,3671016012760030,2025,16126681,1638579,26154347,9946404,1592578
FIN000061,3174015008940031,2024,6384657,753695,8614240,2973700,807713
FIN000062,3174015008940031,2025,9452702,1225626,13997046,8675235,1292935
FIN000063,3276015701910032,2024,15248500,1676519,22506828,12249129,1980478
FIN000064,3276015701910032,2025,21825967,2040401,38173860,18933300,2562670
FIN000065,3175012912660033,2024,14459719,1095506,17642243,6390498,1032533
