application_id,NIK,cif_number,application_date,customer_type,company_name,legal_entity,owner_name,owner_gender,owner_age,owner_marital_status,owner_education,province,city,district,region,branch_name,industry,sub_industry,business_age_year,employee_count,monthly_turnover_est,transaction_frequency_monthly,loan_requested,jenis_kredit_diajukan,tenor_diajukan_bulan,tujuan_penggunaan_kredit,collateral_type,collateral_location,collateral_province,collateral_city,collateral_size_m2,collateral_market_value,collateral_liquidation_value,collateral_ratio,certificate_type,ownership_match,estimated_dsr,eligibility_score,label,rm_id
APP202600001,3276010601750001,CIF1000001,2025-07-08,UMKM,UD Santoso Abadi,UD,Budi Panjaitan,L,51,Menikah,S2,Jawa Barat,Depok,Sukmajaya,Region 2,KCP Bogor Baranangsiang,Manufaktur,Konveksi,14,9,2672137,66,300000000,KI,54,Pembelian mesin produksi tambahan usaha Konveksi,Rumah,"Poris Plawad, Tangerang",Banten,Tangerang,423.4,2328496000,1862796800,7.76,HGB,Ya,3.0,0.804,Diterima,RM0020
APP202600002,3172010301920002,CIF1000002,2025-09-01,UMKM,UD Wijaya Mandiri,UD,Andi Hidayat,L,34,Cerai Hidup,S2,DKI Jakarta,Jakarta Utara,Kramat Jati,Region 1,KCP Bekasi Barat,Jasa,Bengkel,1,3,1807917,39,75000000,KUR,24,Tambahan modal kerja usaha Bengkel,Rumah,"Pluit, Jakarta Utara",DKI Jakarta,Jakarta Utara,174.8,3724038000,2979230400,49.65,HGB,Ya,3.0,0.683,Diterima,RM0010
APP202600003,3671010604800003,CIF1000003,2025-10-27,UMKM,UD Kusuma Sejahtera,CV,Doni Pratama,L,46,Cerai Hidup,S2,Banten,Tangerang,Bekasi Timur,Region 3,KCP Cibubur,Transportasi,Ekspedisi Kecil,17,33,1698736,59,150000000,KUR,24,Tambahan modal kerja usaha Ekspedisi Kecil,Tanah,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,67.0,1681700000,1345360000,11.21,HGB,Ya,3.0,0.435,Ditolak,RM0039
APP202600004,3173016001890004,CIF1000004,2025-10-23,UMKM,UD Susanto Makmur,CV,Nina Firmansyah,P,37,Menikah,S2,DKI Jakarta,Jakarta Barat,Sukmajaya,Region 3,KCP Bogor Baranangsiang,Perdagangan,Toko Alat Tulis,12,79,1135105,98,200000000,KUR,24,Tambahan modal kerja usaha Toko Alat Tulis,Ruko,"Tebet Timur, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,200.6,3647200000,2917760000,18.24,HGB,Ya,3.0,0.683,Diterima,RM0017
APP202600005,3275011505030005,CIF1000005,2025-08-17,UMKM,CV Wijaya Sejahtera,UD,Sutrisno Nugroho,L,23,Cerai Hidup,S2,Jawa Barat,Bekasi,Kramat Jati,Region 3,KCP Bogor Baranangsiang,Transportasi,Rental Kendaraan,11,5,862772,120,750000000,KI,54,Pembelian armada kendaraan tambahan usaha Rental Kendaraan,Ruko,"Kemiri Muka, Depok",Jawa Barat,Depok,316.3,1978268000,1582614400,2.64,HGB,Ya,3.0,0.664,Diterima,RM0019
APP202600006,3671012904920006,CIF1000006,2025-12-05,UMKM,UD Suryadi Sejahtera,UD,Sutrisno Firmansyah,L,34,Belum Menikah,S1,Banten,Tangerang,Cengkareng,Region 1,KCP Tangerang BSD,Jasa,Bengkel,16,13,1651277,100,50000000,KUR,24,Tambahan modal kerja usaha Bengkel,Ruko,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,457.8,10271826000,8217460800,205.44,HGB,Ya,1.89,0.765,Diterima,RM0021
APP202600007,3171015211010007,CIF1000007,2025-05-25,UMKM,PT Panjaitan Mandiri,UD,Kartika Situmorang,P,25,Cerai Hidup,S1,DKI Jakarta,Jakarta Pusat,Sukmajaya,Region 1,KCP Pluit,Perdagangan,Toko Sembako,9,42,1728598,84,500000000,KI,48,Perluasan/renovasi tempat usaha Toko Sembako,Tanah,"Menteng, Jakarta Pusat",DKI Jakarta,Jakarta Pusat,75.8,4303166000,3442532800,8.61,SHM,Ya,3.0,0.465,Ditolak,RM0034
APP202600008,3674013005710008,CIF1000008,2026-01-21,UMKM,UD Kurniawan Jaya,UD,Gunawan Handoko,L,55,Cerai Mati,S2,Jawa Barat,Tangerang Selatan,Serpong,Region 3,KCP Tangerang BSD,Jasa,Jasa Konstruksi Kecil,12,47,2784586,150,75000000,KUR,30,Tambahan modal kerja usaha Jasa Konstruksi Kecil,Gudang,"Cakung Barat, Jakarta Timur",DKI Jakarta,Jakarta Timur,869.5,6851499000,5481199200,91.35,SHM,Ya,2.08,0.478,Ditolak,RM0021
APP202600009,3172016002870009,CIF1000009,2025-11-14,UMKM,UD Wijaya Mandiri,PT,Maya Nugroho,P,39,Menikah,S2,DKI Jakarta,Jakarta Utara,Serpong,Region 4,KCP Cibubur,Transportasi,Ekspedisi Kecil,10,14,1372133,121,200000000,KUR,36,Tambahan modal kerja usaha Ekspedisi Kecil,Rumah,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,541.9,5789253000,4631402400,28.95,HGB,Ya,3.0,0.738,Diterima,RM0039
APP202600010,3271016610890010,CIF1000010,2026-04-22,UMKM,CV Rahman Jaya,UD,Putri Simanjuntak,P,37,Menikah,SMA/SMK,Jawa Barat,Bogor,Serpong,Region 3,KCP Pluit,Perdagangan,Grosir Pakaian,10,45,693325,41,100000000,KUR,24,Tambahan modal kerja usaha Grosir Pakaian,Rumah,"Pluit, Jakarta Utara",DKI Jakarta,Jakarta Utara,630.2,11760744000,9408595200,117.61,HGB,Ya,3.0,0.503,Ditolak,RM0033
APP202600011,3275016305970011,CIF1000011,2025-02-14,UMKM,UD Lubis Jaya,UD,Ika Pratama,P,29,Belum Menikah,D3,Jawa Barat,Bekasi,Serpong,Region 4,KCP Kemang,Manufaktur,Pengolahan Makanan Ringan,1,19,1588186,166,1000000000,KI,48,Pembelian mesin produksi tambahan usaha Pengolahan Makanan Ringan,Ruko,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,405.2,13659956000,10927964800,13.66,HGB,Ya,3.0,0.665,Diterima,RM0031
APP202600012,3172010612990012,CIF1000012,2025-06-14,UMKM,CV Siregar Jaya,UD,Rudi Situmorang,L,27,Belum Menikah,D3,DKI Jakarta,Jakarta Utara,Cengkareng,Region 3,KCP Bekasi Barat,Pertanian,Distributor Hasil Tani,17,66,3244561,175,50000000,KUR,36,Tambahan modal kerja usaha Distributor Hasil Tani,Rumah,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,720.5,20339078000,16271262400,406.78,SHM,Ya,0.51,0.781,Diterima,RM0012
APP202600013,3174013110970013,CIF1000013,2026-06-01,UMKM,CV Suryadi Sejahtera,CV,Fajar Siregar,L,29,Cerai Hidup,D3,DKI Jakarta,Jakarta Selatan,Sukmajaya,Region 2,KCP Pluit,Jasa,Jasa Konstruksi Kecil,4,48,1866669,92,1000000000,KI,60,Pembelian peralatan/mesin usaha Jasa Konstruksi Kecil,Tanah,"Margahayu, Bekasi",Jawa Barat,Bekasi,75.4,571532000,457225600,0.57,HGB,Ya,3.0,0.639,Diterima,RM0033
APP202600014,3671016412960014,CIF1000014,2025-03-21,UMKM,CV Wibowo Makmur,PT,Yuni Rahman,P,30,Belum Menikah,S1,Banten,Tangerang,Tebet,Region 2,KCP Kemang,Jasa,Percetakan,1,29,4188559,152,150000000,KMK,12,Modal kerja operasional usaha Percetakan,Ruko,"Mekarjaya, Depok",Jawa Barat,Depok,610.3,3693917000,2955133600,24.63,SHM,Ya,3.0,0.776,Diterima,RM0032
APP202600015,3671012605910015,CIF1000015,2025-05-19,UMKM,PT Firmansyah Makmur,PT,Eko Santoso,L,35,Cerai Hidup,SMA/SMK,Banten,Tangerang,Tebet,Region 1,KCP Cikini,Pertanian,Peternakan Ayam,18,15,636286,49,75000000,KMK,18,Modal kerja operasional usaha Peternakan Ayam,Tanah,"Tebet Timur, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,332.7,8127861000,6502288800,108.37,SHM,Ya,3.0,0.69,Diterima,RM0026
APP202600016,3674011208740016,CIF1000016,2026-03-01,UMKM,PT Panjaitan Abadi,PT,Dimas Nugroho,L,52,Belum Menikah,S1,Jawa Barat,Tangerang Selatan,Bekasi Timur,Region 4,KCP Bekasi Barat,Jasa,Laundry,14,4,2012422,65,750000000,KMK,24,Modal kerja operasional usaha Laundry,Tanah,"Mekarjaya, Depok",Jawa Barat,Depok,127.6,923824000,739059200,1.23,HGB,Ya,3.0,0.539,Ditolak,RM0012
