application_id,NIK,cif_number,application_date,customer_type,company_name,legal_entity,owner_name,owner_gender,owner_age,owner_marital_status,owner_education,province,city,district,region,branch_name,industry,sub_industry,business_age_year,employee_count,monthly_turnover_est,transaction_frequency_monthly,loan_requested,jenis_kredit_diajukan,tenor_diajukan_bulan,tujuan_penggunaan_kredit,collateral_type,collateral_location,collateral_province,collateral_city,collateral_size_m2,collateral_market_value,collateral_liquidation_value,collateral_ratio,certificate_type,ownership_match,estimated_dsr,eligibility_score,label,rm_id
APP202603001,317401050890300,CIF1003001,2026-08-20,UMKM,UD Saputra Jaya,UD,Rudi Saputra,L,36,Menikah,S1,DKI Jakarta,Jakarta Selatan,Tebet,Region 1,KCP Melawai,Perdagangan,Toko Sembako,6,5,27500000,80,100000000,KMK,12,Modal kerja pembelian stok barang dagangan Toko Sembako,Tanah,"Tebet Timur, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,80,640000000,512000000,6.4,SHM,Ya,0.42,0.85,Diterima,RM0001
APP202603002,3175011205883002,CIF1003002,2026-08-20,UMKM,CV Firmansyah Makmur,CV,Dedi Firmansyah,L,38,Menikah,S1,DKI Jakarta,Jakarta Timur,Kramat Jati,Region 1,KCP Prof. Supomo Tebet,Jasa,Bengkel,8,6,36666666,80,150000000,KMK,18,Modal kerja operasional usaha Bengkel,Ruko,"Kramat Jati, Jakarta Timur",DKI Jakarta,Jakarta Timur,190,2070000000,1656000000,13.8,SHM,Ya,0.33,0.864,Diterima,RM0021
APP202603003,3276011503903003,CIF1003003,2026-08-20,UMKM,CV Wijaya Jaya,CV,Hendra Wijaya,L,36,Menikah,S1,Jawa Barat,Depok,Sukmajaya,Region 2,KCP Tebet Barat,Kuliner,Restoran,5,10,55000000,80,200000000,KMK,24,Modal kerja pembelian bahan baku harian usaha Restoran,Rumah,"Mekarjaya, Depok",Jawa Barat,Depok,220,1380000000,1104000000,6.9,SHM,Ya,0.23,0.534,Ditolak,RM0041
APP202603004,3174012207853004,CIF1003004,2026-08-20,UMKM,PT Nugroho Makmur,PT,Slamet Nugroho,L,41,Menikah,S1,DKI Jakarta,Jakarta Selatan,Kebayoran Baru,Region 1,KCP Pecenongan,Manufaktur,Furniture,10,15,62500000,80,250000000,KI,48,Pembelian mesin produksi tambahan usaha Furniture,Gudang,"Gunung, Jakarta Selatan",DKI Jakarta,Jakarta Selatan,380,1740000000,1392000000,6.96,HGB,Ya,0.33,0.49,Ditolak,RM0061
APP202603005,3275014211923005,CIF1003005,2026-08-20,UMKM,UD Kusuma Jaya,UD,Wulan Kusuma,P,34,Menikah,S1,Jawa Barat,Bekasi,Bekasi Timur,Region 2,KCP Cikini,Perdagangan,Grosir Pakaian,7,8,46666666,80,150000000,KMK,18,Modal kerja pembelian stok barang dagangan Grosir Pakaian,Rumah,"Margahayu, Bekasi",Jawa Barat,Bekasi,190,1124000000,899200000,7.49,SHM,Ya,0.29,0.874,Diterima,RM0081
APP202603006,3671011001803006,CIF1003006,2026-08-20,UMKM,PT Hidayat Makmur,PT,Bambang Hidayat,L,46,Menikah,S1,Banten,Tangerang,Karawaci,Region 3,KCP Sunter,Manufaktur,Pengolahan Makanan Ringan,15,40,183333333,80,750000000,KI,60,Pembelian mesin produksi tambahan usaha Pengolahan Makanan Ringan,Gudang,"Bojong Jaya, Tangerang",Banten,Tangerang,750,4860000000,3888000000,6.48,SHM,Ya,0.13,0.876,Diterima,RM0101
APP202603007,3173012506873007,CIF1003007,2026-08-20,UMKM,CV Kusuma Jaya,CV,Fajar Kusuma,L,39,Menikah,S1,DKI Jakarta,Jakarta Barat,Kebon Jeruk,Region 3,KCP Kedoya,Transportasi,Ekspedisi Kecil,6,12,43333333,80,200000000,KMK,24,Modal kerja operasional armada Ekspedisi Kecil,Rumah,"Sukabumi Selatan, Jakarta Barat",DKI Jakarta,Jakarta Barat,205,1148000000,918400000,5.74,SHM,Ya,0.3,0.745,Diterima,RM0121
APP202603008,3276014809913008,CIF1003008,2026-08-20,UMKM,UD Lestari Makmur,UD,Ika Lestari,P,35,Menikah,S1,Jawa Barat,Depok,Beji,Region 2,KCP Tangerang Kota,Jasa,Laundry,4,4,27500000,80,100000000,KMK,12,Modal kerja operasional usaha Laundry,Rumah,"Kemiri Muka, Depok",Jawa Barat,Depok,150,784000000,627200000,7.84,SHM,Ya,0.43,0.848,Diterima,RM0141
APP202603009,3271011904833009,CIF1003009,2026-08-20,UMKM,UD Firmansyah Jaya,UD,Anton Firmansyah,L,43,Menikah,S1,Jawa Barat,Bogor,Bogor Tengah,Region 3,KC BSD,Pertanian,Distributor Hasil Tani,9,7,32083333,80,120000000,KMK,18,Modal kerja operasional usaha Distributor Hasil Tani,Tanah,"Paledang, Bogor",Jawa Barat,Bogor,150,975000000,780000000,8.12,SHM,Ya,0.34,0.802,Diterima,RM0161
APP202603010,3172013012793010,CIF1003010,2026-08-20,UMKM,PT Santoso Makmur,PT,Yusuf Santoso,L,47,Menikah,S1,DKI Jakarta,Jakarta Utara,Kelapa Gading,Region 1,KCP Rawamangun,Perdagangan,Distributor Elektronik,12,20,82500000,80,300000000,KI,36,Perluasan/renovasi tempat usaha Distributor Elektronik,Ruko,"Kelapa Gading Barat, Jakarta Utara",DKI Jakarta,Jakarta Utara,330,4686000000,3748800000,15.62,SHM,Tidak,0.17,0.887,Diterima,RM0181
APP202603011,3674015402903011,CIF1003011,2026-08-20,UMKM,UD Handoko Jaya,UD,Sri Handoko,P,36,Menikah,S1,Jawa Barat,Tangerang Selatan,Serpong,Region 4,KCP Pulo Gadung,Kuliner,Katering,3,5,12500000,80,300000000,KI,36,Renovasi & penambahan peralatan usaha Katering,Rumah,"Rawa Buntu, Tangerang Selatan",Jawa Barat,Tangerang Selatan,170,648000000,518400000,2.16,SHM,Ya,1.95,0.658,Diterima,RM0201
