rm_id,rm_name,branch_name,region,jabatan,level,kapasitas_max_nasabah,join_date
RM0001,Doni Hidayat,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,6,2025-08-29
RM0002,Wulan Situmorang,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,17,2016-02-10
RM0003,Slamet Kusuma,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,17,2025-07-02
RM0004,Slamet Gunawan,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,25,2021-06-13
RM0005,Putri Santoso,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,11,2024-11-27
RM0006,Wati Lubis,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,7,2023-02-26
RM0007,Nina Kurniawan,KC Senayan,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,18,2017-03-28
RM0008,Yudi Situmorang,KC Gatot Subroto,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2022-07-08
RM0009,Rian Kusuma,KC Gatot Subroto,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2019-05-25
RM0010,Dian Halim,KC Gatot Subroto,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,7,2017-04-30
RM0011,Krisna Permana,KC Gatot Subroto,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,14,2021-04-17
RM0012,Irfan Siregar,KC Jakarta Pusat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,15,2015-08-03
RM0013,Indah Pratama,KC Jakarta Pusat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,12,2024-10-31
RM0014,Ayu Halim,KC Jakarta Pusat,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,15,2016-06-07
RM0015,Slamet Situmorang,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,15,2023-11-29
RM0016,Fauzi Rahman,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Senior RB,18,2017-12-23
RM0017,Yuni Firmansyah,KCP Melawai,Kantor Wilayah 10 Jakarta Senayan,Relationship Banking Officer,Junior RB,9,2025-11-09
