slik_record_id,NIK,inquiry_date,bank_name,loan_type,plafond,outstanding_balance,installment_amount,tenor_month,collectability,collectability_label
SLK000001,3276010601750001,2024-03-06,Bank BCA,KPR,100000000,87078357,2882804,36,1,Lancar
SLK000002,3172010301920002,2025-03-27,Bank CIMB Niaga,KKB,75000000,42479157,6708701,12,2,Dalam Perhatian Khusus (DPK)
SLK000003,3172010301920002,2024-06-29,BPR Mitra Usaha,KK,300000000,176591612,9447252,36,1,Lancar
SLK000004,3671010604800003,2024-02-26,Bank Danamon,KPR,25000000,5032340,760302,36,1,Lancar
SLK000005,3671010604800003,2024-11-25,Bank BRI,KI,150000000,130655336,14335826,12,4,Diragukan
SLK000006,3173016001890004,2025-05-08,Bank Panin,KI,500000000,431167857,11828084,48,2,Dalam Perhatian Khusus (DPK)
SLK000007,3275011505030005,2025-12-11,BPR Mitra Usaha,KMK,75000000,20377147,1601924,48,2,Dalam Perhatian Khusus (DPK)
SLK000008,3671012904920006,2024-09-15,BPR Mitra Usaha,KKB,25000000,12976540,785577,36,1,Lancar
SLK000009,3171015211010007,2024-12-19,Bank OCBC NISP,KPR,75000000,31857661,1654250,48,4,Diragukan
SLK000010,3171015211010007,2024-11-16,Bank Permata,KK,50000000,41194970,4483791,12,2,Dalam Perhatian Khusus (DPK)
SLK000011,3674013005710008,2024-10-16,Bank CIMB Niaga,KI,100000000,73911070,2908960,36,4,Diragukan
SLK000012,3271016610890010,2026-04-24,Bank Permata,KI,500000000,110489461,11196934,48,1,Lancar
SLK000013,3271016610890010,2024-07-19,Bank BNI,KI,300000000,217219827,6540657,48,1,Lancar
SLK000014,3271016610890010,2026-03-06,Bank Panin,KK,500000000,378486905,22790960,24,3,Kurang Lancar
SLK000015,3275016305970011,2026-07-02,Bank CIMB Niaga,KKB,25000000,7614977,1162415,24,1,Lancar
SLK000016,3275016305970011,2024-12-16,Bank BCA,KK,300000000,253466581,26296997,12,2,Dalam Perhatian Khusus (DPK)
SLK000017,3174013110970013,2026-07-29,Bank Mandiri,KI,50000000,16847552,1457308,36,1,Lancar
SLK000018,3671016412960014,2025-12-31,Bank CIMB Niaga,KK,50000000,36431357,1493941,36,1,Lancar
SLK000019,3671016412960014,2024-07-23,Bank Mandiri,KK,50000000,16799719,920802,60,1,Lancar
SLK000020,3671012605910015,2024-05-21,Bank CIMB Niaga,KMK,50000000,43202774,1173386,48,1,Lancar
SLK000021,3674011208740016,2024-08-01,Bank Mandiri,KMK,500000000,390990215,15413181,36,4,Diragukan
SLK000022,3271010101840017,2025-03-08,Bank Mandiri,KKB,50000000,12993664,937704,60,4,Diragukan
SLK000023,3271010101840017,2025-11-08,Bank CIMB Niaga,KPR,150000000,95516688,4717897,36,1,Lancar
SLK000024,3172011502850018,2026-04-03,BPR Mitra Usaha,KMK,500000000,211319512,21623976,24,1,Lancar
SLK000025,3172011502850018,2024-07-25,Bank Danamon,KK,300000000,159198246,26496673,12,4,Diragukan
SLK000026,3174012110980019,2024-09-05,Bank CIMB Niaga,KMK,25000000,5704491,1184164,24,1,Lancar
SLK000027,3174012110980019,2025-05-11,Bank OCBC NISP,KI,300000000,92212059,9268982,36,1,Lancar
SLK000028,3674015810770020,2024-07-27,Bank CIMB Niaga,KI,50000000,25882153,889420,60,1,Lancar
SLK000029,3674015810770020,2026-08-15,Bank Mandiri,KKB,300000000,238309669,8560277,36,2,Dalam Perhatian Khusus (DPK)
SLK000030,3671012107980021,2024-04-23,Bank Panin,KI,50000000,22331239,852387,60,1,Lancar
SLK000031,3171011102830022,2026-05-01,Bank BCA,KK,25000000,17367440,595190,48,1,Lancar
SLK000032,3171011102830022,2024-06-12,Bank BCA,KKB,75000000,70645663,2334959,36,1,Lancar
SLK000033,3175015609750023,2025-11-17,Bank Mandiri,KKB,150000000,109484583,2720032,60,3,Kurang Lancar
SLK000034,3175015609750023,2025-11-12,Bank BNI,KK,500000000,135798504,15381821,36,1,Lancar
SLK000035,3175015609750023,2024-06-17,Bank BNI,KMK,25000000,8494426,761246,36,1,Lancar
SLK000036,3671010906920025,2025-06-24,Bank Permata,KKB,25000000,22341354,2299709,12,1,Lancar
SLK000037,3671010906920025,2025-10-12,Bank Panin,KMK,200000000,156327862,4701537,48,1,Lancar
SLK000038,3671011103970026,2025-11-22,Bank BCA,KMK,25000000,6998702,593996,48,1,Lancar
SLK000039,3671011103970026,2025-07-11,Bank Mandiri,KI,500000000,190952302,8541333,60,1,Lancar
SLK000040,3671011204840028,2026-08-05,Bank BNI,KK,50000000,19829914,1423979,36,1,Lancar
SLK000041,3671011204840028,2025-07-24,Bank BNI,KKB,100000000,71004604,2154807,48,1,Lancar
SLK000042,3671010311920029,2025-08-14,Bank OCBC NISP,KMK,150000000,100681439,12884556,12,2,Dalam Perhatian Khusus (DPK)
SLK000043,3671016012760030,2026-02-27,Bank BRI,KPR,300000000,273995402,5420369,60,1,Lancar
SLK000044,3671016012760030,2025-04-05,BPR Mitra Usaha,KPR,300000000,233110307,6655117,48,1,Lancar
SLK000045,3174015008940031,2024-09-02,Bank Danamon,KKB,500000000,473446160,11095515,48,1,Lancar
SLK000046,3175012912660033,2024-11-13,Bank CIMB Niaga,KMK,75000000,39868335,3346600,24,2,Dalam Perhatian Khusus (DPK)
SLK000047,3671014110870034,2026-07-14,Bank BCA,KK,100000000,30917581,4438878,24,1,Lancar
SLK000048,3671014110870034,2025-11-02,Bank BNI,KPR,500000000,409300671,15893677,36,3,Kurang Lancar
SLK000049,3671014110870034,2024-10-25,Bank OCBC NISP,KI,150000000,101847423,4776118,36,1,Lancar
SLK000050,3671015108920035,2025-06-19,Bank Permata,KI,50000000,32577012,1162749,48,2,Dalam Perhatian Khusus (DPK)
SLK000051,3671014712870036,2025-08-29,BPR Mitra Usaha,KKB,50000000,12307849,957577,60,2,Dalam Perhatian Khusus (DPK)
SLK000052,3671014712870036,2024-06-15,Bank CIMB Niaga,KMK,150000000,65096798,2740157,60,1,Lancar
SLK000053,3671014712870036,2025-11-10,Bank BRI,KI,25000000,17575816,1136163,24,1,Lancar
SLK000054,3175012901750037,2025-05-29,Bank CIMB Niaga,KK,150000000,132916797,2635203,60,1,Lancar
SLK000055,3175012901750037,2024-05-27,Bank Mandiri,KI,500000000,310199352,21380547,24,1,Lancar
SLK000056,3671016303970038,2024-03-13,Bank OCBC NISP,KPR,25000000,5748728,2153516,12,1,Lancar
SLK000057,3671016303970038,2025-09-29,Bank BCA,KPR,150000000,127880399,6433418,24,1,Lancar
SLK000058,3671016303970038,2024-11-24,Bank Mandiri,KK,150000000,106180823,4491201,36,1,Lancar
SLK000059,3671010304670039,2024-02-15,BPR Mitra Usaha,KMK,300000000,134408127,5132348,60,1,Lancar
SLK000060,3276015003770041,2025-11-01,Bank BNI,KK,200000000,183819739,6381729,36,1,Lancar
SLK000061,3271010505890042,2025-11-22,Bank Danamon,KKB,200000000,55515274,8909885,24,2,Dalam Perhatian Khusus (DPK)
SLK000062,3271010505890042,2024-05-21,Bank Panin,KKB,100000000,57118370,3161873,36,4,Diragukan
SLK000063,3271014201950044,2025-09-22,Bank BNI,KK,100000000,85774162,9037365,12,1,Lancar
SLK000064,3271014201950044,2024-12-14,Bank BNI,KK,150000000,95515693,3523208,48,1,Lancar
SLK000065,3173012502730045,2025-10-16,Bank BCA,KMK,300000000,92054208,27573855,12,1,Lancar
SLK000066,3275014502860046,2025-01-27,Bank OCBC NISP,KI,500000000,425276542,47480943,12,1,Lancar
SLK000067,3172010211710047,2024-08-13,Bank BNI,KK,200000000,82733295,8883107,24,1,Lancar
SLK000068,3671016211990048,2024-07-07,Bank OCBC NISP,KKB,200000000,66083826,5888930,36,1,Lancar
SLK000069,3671016211990048,2024-11-23,Bank BNI,KPR,150000000,103816317,3291908,48,1,Lancar
SLK000070,3172016512950049,2025-07-07,Bank Mandiri,KI,500000000,143392147,44983027,12,2,Dalam Perhatian Khusus (DPK)
SLK000071,3172015801940050,2025-12-09,Bank CIMB Niaga,KK,50000000,41037667,2219186,24,1,Lancar
